parcel_id,slr_cm,storm,depth_m,duration_hr,wave_ht_m,slr_m,ADDRESS,ZIP OR POSTAL CODE
1,0,avg,0,0,0,0,571 Sand Point Rd,93013
1,0,100yr,0,0,0,0,571 Sand Point Rd,93013
1,25,avg,0,0,0,0.25,571 Sand Point Rd,93013
1,25,100yr,0,0,0,0.25,571 Sand Point Rd,93013
1,50,avg,0,0,0,0.5,571 Sand Point Rd,93013
1,50,100yr,0,0,0,0.5,571 Sand Point Rd,93013
1,75,avg,0,0,0,0.75,571 Sand Point Rd,93013
1,75,100yr,0,0,0,0.75,571 Sand Point Rd,93013
1,100,avg,0,0,0,1,571 Sand Point Rd,93013
1,100,100yr,0,0,0,1,571 Sand Point Rd,93013
1,125,avg,0,0,0,1.25,571 Sand Point Rd,93013
1,125,100yr,0,0,0,1.25,571 Sand Point Rd,93013
1,150,avg,0,0,0,1.5,571 Sand Point Rd,93013
1,150,100yr,0,0,0,1.5,571 Sand Point Rd,93013
1,175,avg,0,0,0,1.75,571 Sand Point Rd,93013
1,175,100yr,0,0,0,1.75,571 Sand Point Rd,93013
1,200,avg,0,0,0,2,571 Sand Point Rd,93013
1,200,100yr,0,0,0,2,571 Sand Point Rd,93013
1,500,avg,184.0542755126953,24.45550537109375,0.6097475290298462,5,571 Sand Point Rd,93013
1,500,100yr,210,24.498394012451172,2.3611812591552734,5,571 Sand Point Rd,93013
2,0,avg,0,0,0,0,4975 Sandyland Rd,93013
2,0,100yr,0,0,0,0,4975 Sandyland Rd,93013
2,25,avg,0,0,0,0.25,4975 Sandyland Rd,93013
2,25,100yr,0,0,0,0.25,4975 Sandyland Rd,93013
2,50,avg,0,0,0,0.5,4975 Sandyland Rd,93013
2,50,100yr,0,0,0,0.5,4975 Sandyland Rd,93013
2,75,avg,0,0,0,0.75,4975 Sandyland Rd,93013
2,75,100yr,4,9.378973960876465,0.2988702952861786,0.75,4975 Sandyland Rd,93013
2,100,avg,0,0,0,1,4975 Sandyland Rd,93013
2,100,100yr,12,9.378973960876465,0.2988702952861786,1,4975 Sandyland Rd,93013
2,125,avg,15.685077667236328,11.420644760131836,0.14918826520442963,1.25,4975 Sandyland Rd,93013
2,125,100yr,69,16.960134506225586,0.3614022433757782,1.25,4975 Sandyland Rd,93013
2,150,avg,47.14835739135742,11.420644760131836,0.14915305376052856,1.5,4975 Sandyland Rd,93013
2,150,100yr,122,16.960134506225586,0.3614022433757782,1.5,4975 Sandyland Rd,93013
2,175,avg,19.371389389038086,21.175870895385742,0.18274469673633575,1.75,4975 Sandyland Rd,93013
2,175,100yr,127,22.98283576965332,0.5565813183784485,1.75,4975 Sandyland Rd,93013
2,200,avg,14.685077667236328,21.175870895385742,0.18277418613433838,2,4975 Sandyland Rd,93013
2,200,100yr,151,22.98283576965332,0.5565813183784485,2,4975 Sandyland Rd,93013
2,500,avg,339.1196594238281,24.30750274658203,0.4562990069389343,5,4975 Sandyland Rd,93013
2,500,100yr,370,24.314876556396484,2.142310857772827,5,4975 Sandyland Rd,93013
3,0,avg,0,0,0,0,4975 Sandyland Rd #105,93013
3,0,100yr,0,0,0,0,4975 Sandyland Rd #105,93013
3,25,avg,0,0,0,0.25,4975 Sandyland Rd #105,93013
3,25,100yr,17,8.055525779724121,0.11309144645929337,0.25,4975 Sandyland Rd #105,93013
3,50,avg,0,0,0,0.5,4975 Sandyland Rd #105,93013
3,50,100yr,7,8.055525779724121,0.11309144645929337,0.5,4975 Sandyland Rd #105,93013
3,75,avg,0,0,0,0.75,4975 Sandyland Rd #105,93013
3,75,100yr,30,8.482233047485352,0.1864231526851654,0.75,4975 Sandyland Rd #105,93013
3,100,avg,0,0,0,1,4975 Sandyland Rd #105,93013
3,100,100yr,37,8.482233047485352,0.1864231526851654,1,4975 Sandyland Rd #105,93013
3,125,avg,36.624149322509766,13.190064430236816,0.1319635659456253,1.25,4975 Sandyland Rd #105,93013
3,125,100yr,91,18.052106857299805,0.2637998163700104,1.25,4975 Sandyland Rd #105,93013
3,150,avg,68.67619323730469,13.190064430236816,0.13186025619506836,1.5,4975 Sandyland Rd #105,93013
3,150,100yr,143,18.052106857299805,0.2637998163700104,1.5,4975 Sandyland Rd #105,93013
3,175,avg,42.425777435302734,21.615827560424805,0.18664367496967316,1.75,4975 Sandyland Rd #105,93013
3,175,100yr,154,23.373985290527344,0.5166115164756775,1.75,4975 Sandyland Rd #105,93013
3,200,avg,40.695411682128906,21.615827560424805,0.18673358857631683,2,4975 Sandyland Rd #105,93013
3,200,100yr,180,23.373985290527344,0.5166115164756775,2,4975 Sandyland Rd #105,93013
3,500,avg,326.3166809082031,24.340784072875977,0.45641979575157166,5,4975 Sandyland Rd #105,93013
3,500,100yr,358,24.351350784301758,2.093552827835083,5,4975 Sandyland Rd #105,93013
4,0,avg,0,0,0,0,821 Sand Point Rd,93013
4,0,100yr,0,0,0,0,821 Sand Point Rd,93013
4,25,avg,0,0,0,0.25,821 Sand Point Rd,93013
4,25,100yr,0,0,0,0.25,821 Sand Point Rd,93013
4,50,avg,0,0,0,0.5,821 Sand Point Rd,93013
4,50,100yr,0,0,0,0.5,821 Sand Point Rd,93013
4,75,avg,0,0,0,0.75,821 Sand Point Rd,93013
4,75,100yr,0,0,0,0.75,821 Sand Point Rd,93013
4,100,avg,0,0,0,1,821 Sand Point Rd,93013
4,100,100yr,1,7.479930877685547,0,1,821 Sand Point Rd,93013
4,125,avg,8.863138198852539,15.486079216003418,0.009961032308638096,1.25,821 Sand Point Rd,93013
4,125,100yr,38,18.059541702270508,0.025127826258540154,1.25,821 Sand Point Rd,93013
4,150,avg,44.050113677978516,15.486079216003418,0.00995017122477293,1.5,821 Sand Point Rd,93013
4,150,100yr,72,18.059541702270508,0.025127826258540154,1.5,821 Sand Point Rd,93013
4,175,avg,67.05010986328125,19.49431800842285,0.051791563630104065,1.75,821 Sand Point Rd,93013
4,175,100yr,100,21.74856185913086,0.12537804245948792,1.75,821 Sand Point Rd,93013
4,200,avg,89.9787826538086,19.49431800842285,0.05178596079349518,2,821 Sand Point Rd,93013
4,200,100yr,128,21.74856185913086,0.12537804245948792,2,821 Sand Point Rd,93013
4,500,avg,371.3642272949219,24.07265853881836,0.5924854278564453,5,821 Sand Point Rd,93013
4,500,100yr,403,24.14497947692871,1.7042632102966309,5,821 Sand Point Rd,93013
5,0,avg,0,0,0,0,4700 Sandyland Rd #47,93013
5,0,100yr,0,0,0,0,4700 Sandyland Rd #47,93013
5,25,avg,0,0,0,0.25,4700 Sandyland Rd #47,93013
5,25,100yr,0,0,0,0.25,4700 Sandyland Rd #47,93013
5,50,avg,0,0,0,0.5,4700 Sandyland Rd #47,93013
5,50,100yr,0,0,0,0.5,4700 Sandyland Rd #47,93013
5,75,avg,0,0,0,0.75,4700 Sandyland Rd #47,93013
5,75,100yr,0,0,0,0.75,4700 Sandyland Rd #47,93013
5,100,avg,0,0,0,1,4700 Sandyland Rd #47,93013
5,100,100yr,0,0,0,1,4700 Sandyland Rd #47,93013
5,125,avg,0,0,0,1.25,4700 Sandyland Rd #47,93013
5,125,100yr,8,22.642047882080078,0,1.25,4700 Sandyland Rd #47,93013
5,150,avg,5.149549961090088,22.654216766357422,0,1.5,4700 Sandyland Rd #47,93013
5,150,100yr,60,22.642047882080078,0,1.5,4700 Sandyland Rd #47,93013
