parcel_id,property_id,n_scenarios,pct_flooded,mean_depth_m,max_depth_m,mean_duration_hr,flooded_any,flooded_all
1,2803f561186ffd0eac314fb0ea1a34d7,10,0.1,210,210,24.498394012451172,TRUE,FALSE
2,869b893718c34c2377679564cd7cd705,10,0.7,122.14285714285714,370,17.56553786141532,TRUE,FALSE
3,10e5c14b3b247bc4b07bb5b8fe680915,10,0.9,113,358,15.586561414930555,TRUE,FALSE
4,df5793d00b3dee7bc5de79f3adaa9fcb,10,0.6,123.66666666666667,403,18.540186246236164,TRUE,FALSE
5,7f0b8bc66ebf78e40799f7fc69f1127b,10,0.5,122.6,377,23.847331619262697,TRUE,FALSE
6,1f2e37dbca51abe543d735133f0cc643,10,0.5,157.2,400,23.351682662963867,TRUE,FALSE
7,41677f225fa7418f32714a2a094c1244,10,0.9,113,358,15.586561414930555,TRUE,FALSE
8,d619cea82bb12f088e086e781113f17f,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
9,4fadfb3c3591c1ad79a801cfa01370d6,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
10,c9005c10c424d0dfa8efef532052d8e9,10,0.5,120.6,374,23.878937911987304,TRUE,FALSE
11,590bc81e834ae987df8ea7a7c2c04bbf,10,0.5,143.2,329,20.922847747802734,TRUE,FALSE
12,f406818da8ebe8fcc4e58cae36781bf7,10,0.6,128.83333333333334,396,19.416078408559162,TRUE,FALSE
13,5e0031ecbf54e0627caf983b39c73dbd,10,0.5,126.2,385,23.78060836791992,TRUE,FALSE
14,0f956c6f09175e6f22794d56a759228a,10,1,100.8,433,13.833047318458558,TRUE,TRUE
15,b84a87b6270cbd89024e871a1b4dd896,10,0.5,125.8,382,23.748706436157228,TRUE,FALSE
16,a24ca6112f4bac3344317057b836aa82,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
17,891d7a19c8866d6a7f26c765b8ffa62e,10,0.6,129.33333333333334,351,21.342813809712727,TRUE,FALSE
18,71471ead165734f3c23829d2bfd89b19,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
19,fbed1d520e167857fcfba3028ae17d6e,10,0.7,116.57142857142857,399,17.786960465567454,TRUE,FALSE
20,521d913398ccc88ae5ef7b7f1e9f7cfd,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
21,7df87557da5a77296076ccb323bd5592,10,1,115.7,369,14.970808744430542,TRUE,TRUE
22,9187a1f1d8484ebe2254d1c53ab43503,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
23,50f16e8677b26f7f0ae07c2628d4a3f6,10,0.5,122.6,377,23.847331619262697,TRUE,FALSE
24,9ca78cce2abf111ff43097db3067f4bf,10,0.5,125,382,23.78074378967285,TRUE,FALSE
25,6560601a0d96fb4d507c8eb11887952e,10,0.2,93,185,23.961214065551758,TRUE,FALSE
26,39a7d437e8e27b45576cf29f6e28a33d,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
27,9c30fbdf740c818d20ede323c68ed454,10,1,190.8,489,14.049193716049194,TRUE,TRUE
28,a73075107dd3cb34000ee4708056cb3f,10,0.7,127.14285714285714,437,17.879150663103374,TRUE,FALSE
29,7f0dcaae670bce2af9a0278956636a12,10,0.4,143.75,373,21.509522914886475,TRUE,FALSE
30,f1685fa53e41991840a9cff8105898a0,10,0.9,113,358,15.586561414930555,TRUE,FALSE
31,bc49f4578caf3d4c87244cc6fc1432ac,10,0.9,113,358,15.586561414930555,TRUE,FALSE
32,b1abab57126ed2a9a88d737984c69b54,10,0.8,112.125,410,16.44391179084778,TRUE,FALSE
33,4c16214b63d783b88e1d00cc5aeeeedb,10,0.6,131.66666666666666,409,20.35481135050456,TRUE,FALSE
34,43cf192f76f781c71d1f0a86691b4b36,10,0.9,113,358,15.586561414930555,TRUE,FALSE
35,a3fe0a3b732049fd5e91b291c2c53c22,10,0.5,154,356,22.637506866455077,TRUE,FALSE
36,c0038cf971126a683f99570432c0eaf0,10,0.5,150.6,390,22.343691635131837,TRUE,FALSE
37,113c185fa7b30efe6c04b7a4a07276d0,10,0.5,158.4,372,22.26718063354492,TRUE,FALSE
38,6596a6ce95accc5a22d77a6eb1b0e396,10,0.7,125.28571428571429,410,17.753397873469762,TRUE,FALSE
39,d5911c0b500a7b58ba91843839ec4daf,10,0.2,128,240,21.10955238342285,TRUE,FALSE
40,7d47a9fffafa0aa2397c54b05c72e016,10,0.2,171,309,21.981151580810547,TRUE,FALSE
41,f91ee9ee83816276d39319a778cf2c80,10,0.2,140.5,280,22.568934440612793,TRUE,FALSE
42,073c60cc505c2d828817dfd84c52846e,10,0.6,137.66666666666666,421,20.41906162103017,TRUE,FALSE
43,2bce84df5699b910a213702877fb7879,10,0.3,127,313,23.238906224568684,TRUE,FALSE
44,4e20f1d2f1beaafe0b33fd8b63ee754d,10,0.5,125.6,373,21.629340744018556,TRUE,FALSE
45,862d3afe26c4e34e81aa8775f25a34e2,10,0.5,132.2,395,20.943931579589844,TRUE,FALSE
46,5fa404df6aa8eb519c17c3ef9b2f8641,10,0.6,132.16666666666666,413,18.765842278798424,TRUE,FALSE
47,e2e4cb936d41ce2a53d57604e0c8f138,10,0.5,131.6,396,20.514402770996092,TRUE,FALSE
48,3267ce5a6ef70cade696683c01ade678,10,0.5,119,350,20.78047294616699,TRUE,FALSE
49,75a17d216fabd33638ad4d4b11287948,10,0.7,137,448,17.63132885524205,TRUE,FALSE
50,9a075e84b4a27045bbf8e7d7f5ebdbc2,10,0.6,134.33333333333334,422,18.34717559814453,TRUE,FALSE
51,30e4d3cc266206e4c2ed30bd280e9354,10,0.6,119.83333333333333,365,17.80017598470052,TRUE,FALSE
52,dab93058d9ca11f6c6b9d83f3ff64f5d,10,0.3,130.66666666666666,322,21.762300491333008,TRUE,FALSE
53,ba30bf3c79091b7ba488c17422013653,10,0.1,283,283,24.209516525268555,TRUE,FALSE
54,1b6278ab5c2822e50d92a662a920f9cd,10,0.7,140.57142857142858,453,16.216396195547922,TRUE,FALSE
55,0045f368e49fe3280616cd2f946c2e4e,10,0.3,120.33333333333333,319,21.701999028523762,TRUE,FALSE
56,0f9172610ea7ad2104a6971a27e4e3cb,10,0.2,170.5,314,22.55955410003662,TRUE,FALSE
57,5d9c2a05a08558d55b02c0327b4df447,10,0.6,123.5,413,18.116082350413006,TRUE,FALSE
58,c37bb3af3bc962b23be05ede85a95227,10,0.7,141.14285714285714,446,18.177431924002512,TRUE,FALSE
59,2ba4ae8fb559982704ca2d60f5bcb2fa,10,0.5,142,408,20.918666458129884,TRUE,FALSE
60,4ad4c8215c6fffa3117985d90cffb766,10,0.6,121.33333333333333,386,19.12928899129232,TRUE,FALSE
61,671f697ca683fcd3dfef97963abd2555,10,0.7,124.71428571428571,405,17.883831024169922,TRUE,FALSE
62,74df5ff97da3e03e91c0f35f77505d09,10,0.6,133,397,19.483896096547443,TRUE,FALSE
63,981e181177c7d813a55294a9033caae4,10,0.1,271,271,24.337814331054688,TRUE,FALSE
64,8add8b2920677fb05a470dc45d0382e9,10,0.5,117.8,367,20.848374938964845,TRUE,FALSE
65,ebba21509473070bc68ac3bdc57e2b2f,10,0.6,129,428,18.429672241210938,TRUE,FALSE
66,91d61e1e74d514343173298aaad46962,10,0.5,135,409,22.04345817565918,TRUE,FALSE
67,13d20e9c7a4c67ce669c866c9c0c0b65,10,0.6,130.83333333333334,427,19.66048566500346,TRUE,FALSE
68,5dcd72919d0d813104e7c51b3d4f6aec,10,0.7,157.28571428571428,476,17.504745892116002,TRUE,FALSE
69,b3adec5d5bea4d9c3fa1e3464bbafa91,10,0.6,124.16666666666667,394,19.405912558237713,TRUE,FALSE
70,55516a1c7d482174944565881a6c4c1d,10,0.5,137.2,409,21.07927703857422,TRUE,FALSE
71,41e2bee88302efcbaaeb0c9db12fd1cd,10,0,NA,-Inf,NA,FALSE,FALSE
72,bb62c410dccc363d06e5ca7d03ee9451,10,0.2,101,196,23.326626777648926,TRUE,FALSE
73,e6c0dd8d88b208dacf2980e5cfbe47d0,10,0.5,124.8,384,20.829275131225586,TRUE,FALSE
74,6a163b810b84db5cf15faaaff015d72f,10,0.3,153,358,22.968173344930012,TRUE,FALSE
75,4ebd4dadd1ac24187bb48c91600c5bf7,10,0.4,137.75,369,21.912562370300293,TRUE,FALSE
76,16e7c6a3126e8054624d86ca0fffa966,10,0.9,81.22222222222223,233,18.299207899305554,TRUE,FALSE
77,4ca0c29f2b81ba4765ed75f5ea1f4463,10,1,126,281,18.17351360321045,TRUE,TRUE
