parcel_id,scenario,retreat_year,reason,ADDRESS,PRICE,rent,strval,landval,elevation,LATITUDE,LONGITUDE
1,Intermediate,101,never_floods,4975 Sandyland Rd,2135000,20280,1041880,1093120,3.99,34.3940477,-119.5254722
2,Intermediate,1,immediate,4975 Sandyland Rd #105,2550000,19800,1244400,1305600,4.06,34.393902,-119.525147
3,Intermediate,1,immediate,821 Sand Point Rd,23000000,121920,11224000,11776000,6.07,34.4040192,-119.5450254
4,Intermediate,101,no_retreat_needed,4700 Sandyland Rd #47,884527,24840,431649.176,452877.824,3.66,34.395663,-119.527159
5,Intermediate,1,immediate,4755 Sandyland Rd #7,1067643,21492,521009.784,546633.216,2.97,34.395335,-119.527998
6,Intermediate,1,immediate,4975 Sandyland Rd #107,2135000,20256,1041880,1093120,4.06,34.393902,-119.525147
7,Intermediate,1,immediate,4950 Sandyland #120,960315,19920,468633.72,491681.28,4.43,34.394428,-119.525032
8,Intermediate,85,late,4950 Sandyland Rd #226,717391,17508,350086.808,367304.192,4.43,34.394428,-119.525032
9,Intermediate,1,immediate,4700 Sandyland #48,1101457,24936,537511.016,563945.984,3.69,34.395704,-119.52713
10,Intermediate,1,immediate,4925 Sandyland Rd #F,4600000,36708,2244800,2355200,3.96,34.3941663,-119.525621
11,Intermediate,1,immediate,4825 Sandyland Rd #6,1981850,26592,967142.7999999999,1014707.2000000001,3.88,34.394857,-119.526594
12,Intermediate,1,immediate,4700 Sandyland Rd #8,896732,17736,437605.216,459126.784,3.39,34.395763,-119.5277
13,Intermediate,1,immediate,4840 Sandyland Rd,1884845,34404,919804.36,965040.64,4.11,34.3953149,-119.526461
14,Intermediate,1,immediate,4700 Sandyland Rd #12,1079031,18252,526567.128,552463.872,3.46,34.395656,-119.527397
15,Intermediate,1,immediate,4950 Sandyland Rd #224,872951,17700,426000.088,446950.912,4.43,34.394428,-119.525032
16,Intermediate,1,immediate,4709 Sandyland Rd #4,1899169,17988,926794.472,972374.528,2.74,34.395329,-119.5285097
17,Intermediate,93,late,4950 Sandyland Rd #129,785886,21600,383512.368,402373.632,4.43,34.394428,-119.525032
18,Intermediate,1,immediate,4902 Sandyland Rd #136,791547,17604,386274.936,405272.064,4.41,34.3945566,-119.5251608
19,Intermediate,1,immediate,4950 Sandyland Rd #220,1067363,19980,520873.144,546489.856,4.43,34.394428,-119.525032
20,Intermediate,1,immediate,4923 Sandyland Rd,8100000,45804,3952800,4147200,3.87,34.3942179,-119.525802
21,Intermediate,1,immediate,4950 Sandyland Rd #229,759610,17724,370689.68,388920.32,4.43,34.394428,-119.525032
22,Intermediate,83,late,4700 Sandyland Rd #16,734421,17796,358397.448,376023.552,3.66,34.395661,-119.527155
23,Intermediate,101,no_retreat_needed,4700 Sandyland Rd #35,1015960,24804,495788.48,520171.52,3.5,34.395816,-119.527522
24,Intermediate,1,immediate,4595 Avenue Del Mar,12500000,98484,6100000,6400000,2.4,34.395382,-119.529523
25,Intermediate,101,never_floods,4950 Sandyland Rd #223,797223,17820,389044.82399999996,408178.17600000004,4.43,34.394428,-119.525032
26,Intermediate,1,immediate,4815 Sandyland Rd #A,3965000,50628,1934920,2030080,3.59,34.3948611,-119.5269026
27,Intermediate,1,immediate,607 Sand Point Rd,23000000,118452,11224000,11776000,3.03,34.3994895,-119.5400456
28,Intermediate,1,immediate,4315 Del Mar Ave,8000000,70044,3904000,4096000,2.83,34.3967051,-119.5341613
29,Intermediate,1,immediate,4975 Sandyland Rd #109,3200000,19764,1561600,1638400,4.06,34.393902,-119.525147
30,Intermediate,1,immediate,4975 Sandyland Rd #206,1158116,19956,565160.608,592955.392,4.06,34.393902,-119.525147
31,Intermediate,57,late,4950 Sandyland Rd #230,724786,17628,353695.56799999997,371090.43200000003,4.43,34.394428,-119.525032
32,Intermediate,101,no_retreat_needed,4755 Sandyland Rd #6,1283919,39684,626552.472,657366.528,3,34.395378,-119.5279833
33,Intermediate,1,immediate,4975 Sandyland Rd #210,1310769,19800,639655.272,671113.728,4.06,34.393902,-119.525147
34,Intermediate,1,immediate,4825 Sandyland Rd #4,2267235,25536,1106410.68,1160824.32,3.66,34.394747,-119.526726
35,Intermediate,101,no_retreat_needed,4825 Sandyland Rd #7,918048,25296,448007.424,470040.576,3.86,34.3948,-119.526516
36,Intermediate,101,no_retreat_needed,4825 Sandyland Rd #8,908731,26676,443460.728,465270.272,3.72,34.394714,-119.526593
37,Intermediate,1,immediate,4880 Sandyland Apt 12 Rd,777504,17580,418238.56903584494,359265.43096415506,4.31,34.394871,-119.525729
38,Intermediate,1,immediate,879 Sand Point Rd,5250000,121764,2824104.425749817,2425895.574250183,4.82,34.4055391,-119.5475253
39,Intermediate,101,never_floods,871 Sand Point Rd,4700000,358800,2293600,2406400,6.68,34.4047826,-119.5469257
40,Intermediate,101,never_floods,869 Sand Point Rd,8650000,121776,4221200,4428800,4.42,34.4045559,-119.5467092
41,Intermediate,101,never_floods,863 Sand Point Rd,1370736,39420,668919.168,701816.832,8.14,34.4050479,-119.5457756
42,Intermediate,1,immediate,845 Sand Point Rd,6100000,97536,2976800,3123200,7.35,34.4045688,-119.5458531
43,Intermediate,101,never_floods,841 Sand Point Rd,5225000,96456,2549800,2675200,7.2,34.4044467,-119.5456102
44,Intermediate,1,immediate,835 Sand Point Rd,7513270,117384,3666475.76,3846794.24,6.64,34.4042248,-119.5453239
45,Intermediate,1,immediate,815 Sand Point Rd,5500000,121116,2684000,2816000,5.39,34.4037732,-119.5447663
46,Intermediate,1,immediate,805 Sand Pt,6553330,116100,3198025.04,3355304.96,5.09,34.4034328,-119.5444334
47,Intermediate,1,immediate,791 Sand Point Rd,9725000,76632,4745800,4979200,4.79,34.4030894,-119.5441881
48,Intermediate,1,immediate,775 Sand Point Rd,4333292,58512,2114646.496,2218645.504,4.52,34.4027754,-119.5437832
49,Intermediate,1,immediate,755 Sand Point Rd,5000000,64464,2440000,2560000,3.87,34.4021823,-119.5432306
50,Intermediate,1,immediate,745 Sand Point Rd,3415000,70476,1666520,1748480,3.56,34.4019853,-119.5430241
