parcel_id,scenario,cliff_scenario,retreat_year,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,retreat_trigger,timing_category,cliff_exposure_status,initial_cliff_dist_m,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
1,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2748.374933655393,baseline,0.05,0.02,0.15,0,571 Sand Point Rd,39500000,19276000,20224000,34.398955,-119.5393746,1975000,NA,NA,NA
2,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1641.618657677085,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #23,1350000,658800,691200,34.395912,-119.527717,67500,NA,NA,NA
3,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #302,1795000,875960,919040,34.393902,-119.525147,89750,NA,NA,NA
4,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1360.5999789170742,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd,2135000,1041880,1093120,34.3940477,-119.5254722,106750,NA,NA,NA
5,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #105,2550000,1244400,1305600,34.393902,-119.525147,127500,NA,NA,NA
6,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3469.9763041359165,baseline,0.05,0.02,0.15,0,821 Sand Point Rd,23000000,11224000,11776000,34.4040192,-119.5450254,1150000,NA,NA,NA
7,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1583.3781517742502,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #47,911089,444611.432,466477.568,34.395663,-119.527159,45554.450000000004,NA,NA,NA
8,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1632.7399886127866,baseline,0.05,0.02,0.15,0,4755 Sandyland Rd #7,1150000,561200,588800,34.395335,-119.527998,57500,NA,NA,NA
9,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #107,2135000,1041880,1093120,34.393902,-119.525147,106750,NA,NA,NA
10,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland #120,999491,487751.608,511739.392,34.394428,-119.525032,49974.55,NA,NA,NA
11,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #226,726261,354415.368,371845.632,34.394428,-119.525032,36313.05,NA,NA,NA
12,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1583.4116666986138,baseline,0.05,0.02,0.15,0,4700 Sandyland #48,1097394,535528.272,561865.728,34.395704,-119.52713,54869.700000000004,NA,NA,NA
13,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1378.8261846765854,baseline,0.05,0.02,0.15,0,4925 Sandyland Rd #F,4600000,2244800,2355200,34.3941663,-119.525621,230000,NA,NA,NA
14,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1493.9269457867488,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #6,1495000,729560,765440,34.394857,-119.526594,74750,NA,NA,NA
15,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1631.9194931403802,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #8,923835,450831.48,473003.52,34.395763,-119.5277,46191.75,NA,NA,NA
16,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1508.4554277737964,baseline,0.05,0.02,0.15,0,4840 Sandyland Rd,1650000,805200,844800,34.3953149,-119.526461,82500,NA,NA,NA
17,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1601.8579880761474,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #12,1110000,541680,568320,34.395656,-119.527397,55500,NA,NA,NA
18,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #224,843695,411723.16,431971.84,34.394428,-119.525032,42184.75,NA,NA,NA
19,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1674.0710011399435,baseline,0.05,0.02,0.15,0,4709 Sandyland Rd #4,1650000,805200,844800,34.395329,-119.5285097,82500,NA,NA,NA
20,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #129,776711,379034.968,397676.032,34.394428,-119.525032,38835.55,NA,NA,NA
21,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1362.728284073332,baseline,0.05,0.02,0.15,0,4902 Sandyland Rd #136,768533,375044.104,393488.896,34.3945566,-119.5251608,38426.65,NA,NA,NA
22,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #220,997536,486797.56799999997,510738.43200000003,34.394428,-119.525032,49876.8,NA,NA,NA
23,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1396.2299875954611,baseline,0.05,0.02,0.15,0,4923 Sandyland Rd,8100000,3952800,4147200,34.3942179,-119.525802,405000,NA,NA,NA
24,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #229,763093,372389.384,390703.616,34.394428,-119.525032,38154.65,NA,NA,NA
25,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1582.9485035376936,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #16,720969,351832.872,369136.128,34.395661,-119.527155,36048.450000000004,NA,NA,NA
26,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1620.758245709627,baseline,0.05,0.02,0.15,0,4700 Sandyland Rd #35,1014287,494972.056,519314.944,34.395816,-119.527522,50714.350000000006,NA,NA,NA
27,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1759.9326560871334,baseline,0.05,0.02,0.15,0,4595 Avenue Del Mar,12500000,6100000,6400000,34.395382,-119.529523,625000,NA,NA,NA
28,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #223,777436,379388.768,398047.232,34.394428,-119.525032,38871.8,NA,NA,NA
29,Intermediate,NA,81,TRUE,100,80.96,81,0.19694638556693236,81,81,81,81,0,no_retreat,no_retreat,safe,1519.0965870293046,baseline,0.05,0.02,0.15,0,4815 Sandyland Rd #A,3965000,1934920,2030080,34.3948611,-119.5269026,198250,NA,NA,NA
30,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2829.6237895756512,baseline,0.05,0.02,0.15,0,607 Sand Point Rd,23000000,11224000,11776000,34.3994895,-119.5400456,1150000,NA,NA,NA
31,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,2208.296868280612,baseline,0.05,0.02,0.15,0,4315 Del Mar Ave,8000000,3904000,4096000,34.3967051,-119.5341613,400000,NA,NA,NA
32,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #109,3200000,1561600,1638400,34.393902,-119.525147,160000,NA,NA,NA
33,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #206,1350000,658800,691200,34.393902,-119.525147,67500,NA,NA,NA
34,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1345.3318095569457,baseline,0.05,0.02,0.15,0,4950 Sandyland Rd #230,752938,367433.744,385504.256,34.394428,-119.525032,37646.9,NA,NA,NA
35,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1633.8078777675569,baseline,0.05,0.02,0.15,0,4755 Sandyland Rd #6,1170000,570960,599040,34.395378,-119.5279833,58500,NA,NA,NA
36,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1326.6029286408466,baseline,0.05,0.02,0.15,0,4975 Sandyland Rd #210,1527500,745420,782080,34.393902,-119.525147,76375,NA,NA,NA
37,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1498.8012505220606,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #4,2354892,1149187.296,1205704.704,34.394747,-119.526726,117744.6,NA,NA,NA
38,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1484.5975072783024,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #7,958456,467726.528,490729.472,34.3948,-119.526516,47922.8,NA,NA,NA
39,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1486.28679224466,baseline,0.05,0.02,0.15,0,4825 Sandyland Rd #8,952313,464728.744,487584.256,34.394714,-119.526593,47615.65,NA,NA,NA
40,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,1425.4480035213696,baseline,0.05,0.02,0.15,0,4880 Sandyland Apt 12 Rd,773760,416224.5791367959,357535.4208632041,34.394871,-119.525729,38688,NA,NA,NA
41,Intermediate,NA,81,TRUE,100,81,81,0,81,81,81,81,0,no_retreat,no_retreat,safe,3753.532189218932,baseline,0.05,0.02,0.15,0,879 Sand Point Rd,5250000,2824104.425749817,2425895.574250183,34.4055391,-119.5475253,262500,NA,NA,NA
