parcel_id,scenario,retreat_year,reason,sensitivity_scenario,scenario_label,slr_scenario,rent_method,beta,damage_threshold,owner_utility
1,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
2,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
3,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
4,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
5,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
6,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
7,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
8,Intermediate,85,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
9,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
10,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
11,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
12,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
13,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
14,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
15,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
16,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
17,Intermediate,93,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
18,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
19,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
20,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
21,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
22,Intermediate,83,late,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
23,Intermediate,101,no_retreat_needed,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
24,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
25,Intermediate,101,never_floods,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
26,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
27,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
28,Intermediate,1,immediate,baseline,Baseline (Redfin Rents),Intermediate,redfin,0.97,0,0
