parameter_set,scenario,cliff_scenario,rental_yield,discount_rate,damage_threshold,owner_utility,n_properties,mean_retreat_year,median_retreat_year,n_immediate,n_early,n_mid,n_late,n_no_retreat
y0.04_d0.015_t0.00_u0_NA,High,NA,0.04,0.015,0,0,113,55.82222222222222,61,0,3,10,32,68
y0.04_d0.015_t0.00_u0_NA,Intermediate,NA,0.04,0.015,0,0,113,71.5,71.5,0,0,0,2,111
y0.04_d0.015_t0.00_u0_NA,Intermediate_High,NA,0.04,0.015,0,0,113,68,72.5,0,0,3,29,81
y0.04_d0.015_t0.00_u25000_NA,High,NA,0.04,0.015,0,25000,113,58.724137931034484,58,0,0,8,21,84
y0.04_d0.015_t0.00_u25000_NA,Intermediate,NA,0.04,0.015,0,25000,113,NA,NA,0,0,0,0,113
y0.04_d0.015_t0.00_u25000_NA,Intermediate_High,NA,0.04,0.015,0,25000,113,66.66666666666667,72,0,0,3,12,98
y0.04_d0.015_t0.00_u50000_NA,High,NA,0.04,0.015,0,50000,113,61.375,61,0,0,6,18,89
y0.04_d0.015_t0.00_u50000_NA,Intermediate,NA,0.04,0.015,0,50000,113,NA,NA,0,0,0,0,113
y0.04_d0.015_t0.00_u50000_NA,Intermediate_High,NA,0.04,0.015,0,50000,113,68.5,68,0,0,0,10,103
y0.04_d0.015_t0.15_u0_NA,High,NA,0.04,0.015,0.15,0,113,55.955555555555556,61,0,3,10,32,68
y0.04_d0.015_t0.15_u0_NA,Intermediate,NA,0.04,0.015,0.15,0,113,71.5,71.5,0,0,0,2,111
y0.04_d0.015_t0.15_u0_NA,Intermediate_High,NA,0.04,0.015,0.15,0,113,68,72.5,0,0,3,29,81
y0.04_d0.015_t0.15_u25000_NA,High,NA,0.04,0.015,0.15,25000,113,58.86206896551724,58,0,0,8,21,84
y0.04_d0.015_t0.15_u25000_NA,Intermediate,NA,0.04,0.015,0.15,25000,113,NA,NA,0,0,0,0,113
