parcel_id,slr_m,depth_m
1,0,0
1,0.25,0
1,0.5,0
1,0.75,0
1,1,0
1,1.25,0
1,1.5,0
1,1.75,0
1,2,0
1,5,1.9305427551269532
2,0,0
2,0.25,0
2,0.5,0
2,0.75,0
2,1,0
2,1.25,0
2,1.5,0.13545142173767089
2,1.75,0
2,2,0
2,5,3.585451354980469
3,0,0
3,0.25,0
3,0.5,0
3,0.75,0
3,1,0
3,1.25,0.29624149322509763
3,1.5,0.5135451507568359
3,1.75,0.5342577743530273
3,2,0.5344499206542969
3,5,3.352646484375
4,0,0
4,0.25,0
4,0.5,0
4,0.75,0
4,1,0
4,1.25,0.1037138843536377
4,1.5,0.3205770111083984
4,1.75,0.26371389389038086
4,2,0.2197407913208008
4,5,3.4789663696289064
5,0,0
5,0.25,0
5,0.5,0
5,0.75,0
5,1,0
5,1.25,0.29624149322509763
5,1.5,0.5135451507568359
5,1.75,0.5342577743530273
5,2,0.5344499206542969
5,5,3.352646484375
6,0,0
6,0.25,0
6,0.5,0
6,0.75,0
6,1,0
6,1.25,0.1386313819885254
6,1.5,0.5503371047973633
6,1.75,0.8097878265380859
6,2,1.0696237945556641
6,5,3.794355773925781
7,0,0
7,0.25,0
7,0.5,0
7,0.75,0
7,1,0
7,1.25,0
7,1.5,0.03112402677536011
7,1.75,0
7,2,0
7,5,3.511495361328125
8,0,0
8,0.25,0
8,0.5,0
8,0.75,0
8,1,0
8,1.25,0.18
8,1.5,0.5739275360107422
8,1.75,0.41314308166503905
8,2,0.40314308166503904
8,5,3.7472845458984376
9,0,0
9,0.25,0
9,0.5,0
9,0.75,0
9,1,0
9,1.25,0.29624149322509763
9,1.5,0.5135451507568359
9,1.75,0.5342577743530273
9,2,0.5344499206542969
9,5,3.352646484375
10,0,0
10,0.25,0
10,0.5,0
10,0.75,0
10,1,0
10,1.25,0
10,1.5,0.15
10,1.75,0.08994142532348633
10,2,0.08
10,5,3.85
11,0,0
11,0.25,0
11,0.5,0
11,0.75,0
11,1,0
11,1.25,0
11,1.5,0.15
11,1.75,0.08994142532348633
11,2,0.08
11,5,3.85
12,0,0
12,0.25,0
12,0.5,0
12,0.75,0
12,1,0
12,1.25,0
12,1.5,0
12,1.75,0
12,2,0
12,5,3.49
13,0,0
13,0.25,0
13,0.5,0
13,0.75,0
13,1,0
13,1.25,0
13,1.5,0.12701637268066407
13,1.75,0.03912020921707153
13,2,0
13,5,3.0556796264648436
14,0,0
14,0.25,0
14,0.5,0
14,0.75,0
14,1,0
14,1.25,0
14,1.5,0.28612892150878905
14,1.75,0.036128919124603275
14,2,0.020774331092834473
14,5,3.7037368774414063
15,0,0
15,0.25,0
15,0.5,0
15,0.75,0
15,1,0
15,1.25,0
15,1.5,0.1628555679321289
15,1.75,0
15,2,0
15,5,3.605806884765625
16,0,0
16,0.25,0
16,0.5,0
16,0.75,0
16,1,0.030909667015075682
16,1.25,0.255860595703125
16,1.5,0.5115625381469726
16,1.75,0.245860595703125
16,2,0.24165725708007812
16,5,4.045860595703125
17,0,0
17,0.25,0
17,0.5,0
17,0.75,0
17,1,0
17,1.25,0
17,1.5,0.1057075309753418
17,1.75,0
17,2,0
17,5,3.572791748046875
18,0,0
18,0.25,0
18,0.5,0
18,0.75,0
18,1,0
18,1.25,0
18,1.5,0.15
18,1.75,0.08994142532348633
18,2,0.08
18,5,3.85
19,0,0
19,0.25,0
19,0.5,0
19,0.75,0
19,1,0
19,1.25,0.2327879524230957
19,1.5,0.7291445922851563
19,1.75,0.65444183349609375
