SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
MLS Listing,NA,Single Family Residential,571 Sand Point Rd,Carpinteria,CA,93013,39500000,4,4.5,Sandyland Cove,NA,61855,1992,13,NA,NA,Active,NA,NA,https://www.redfin.com/CA/Carpinteria/571-Sand-Point-Rd-93013/home/21613481,SBMLS,25-3772,N,Y,34.398955,-119.5393746,"571 Sand Point Rd, Carpinteria, CA",1975000,164583.33333333334,164583.33333333334,baseline_5pct,3.63,134.1224132202546,0.1341224132202546,57.8,3413,42,177,901,145066,1101,175,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
MLS Listing,NA,Condo/Co-op,4700 Sandyland Rd #23,Carpinteria,CA,93013,1350000,2,2,CARPINTERIA-SUMMERLAND,858,NA,1970,20,1573,NA,Active,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-23/home/21615663,SBMLS,25-3787,N,Y,34.395912,-119.527717,"4700 Sandyland Rd #23, Carpinteria, CA",67500,5625,5625,baseline_5pct,3.48,223.30201990180558,0.2233020199018056,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
MLS Listing,NA,Condo/Co-op,4975 Sandyland Rd #302,Carpinteria,CA,93013,1795000,2,1,CARPINTERIA-SUMMERLAND,683,871,1964,149,2628,NA,Active,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-302/home/21613637,SBMLS,25-2211,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #302, Carpinteria, CA",89750,7479.166666666667,7479.166666666667,baseline_5pct,4.06,129.97014644725382,0.12997014644725383,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,October-5-2021,Condo/Co-op,4975 Sandyland Rd,Carpinteria,CA,93013,2135000,2,1,CPTA - Carpinteria,683,868,1964,NA,3126,752,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/home/143304649,CRMLS,BB21180651,N,Y,34.3940477,-119.5254722,"4975 Sandyland Rd, Carpinteria, CA",106750,8895.833333333334,8895.833333333334,baseline_5pct,3.99,129.05789604538583,0.12905789604538584,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,September-12-2023,Condo/Co-op,4975 Sandyland Rd #105,Carpinteria,CA,93013,2550000,2,1,Carpinteria,683,NA,1964,NA,3734,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-105/home/21615615,SBMLS,23-2719,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #105, Carpinteria, CA",127500,10625,10625,baseline_5pct,4.06,129.97014644725382,0.12997014644725383,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,March-19-2021,Single Family Residential,821 Sand Point Rd,Carpinteria,CA,93013,23000000,2,1.5,CARPINTERIA-SUMMERLAND,3500,4598,2004,NA,6571,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/821-Sand-Point-Rd-93013/home/21611957,SBMLS,21-1008,N,Y,34.4040192,-119.5450254,"821 Sand Point Rd, Carpinteria, CA",1150000,95833.33333333333,95833.33333333333,baseline_5pct,6.07,193.3738431180646,0.1933738431180646,57.8,3413,42,177,901,145066,1101,175,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,May-26-2022,Condo/Co-op,4700 Sandyland Rd #47,Carpinteria,CA,93013,911089,2,2,Sandyland Cove,828,NA,1970,NA,1069,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-47/home/21613985,SBMLS,22-1726,N,Y,34.395663,-119.527159,"4700 Sandyland Rd #47, Carpinteria, CA",45554.450000000004,3796.204166666667,3796.204166666667,baseline_5pct,3.66,224.98400668170623,0.22498400668170623,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,September-2-2021,Condo/Co-op,4755 Sandyland Rd #7,Carpinteria,CA,93013,1150000,2,1,CARPINTERIA-SUMMERLAND,875,NA,1959,NA,1314,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-7/home/21614166,SBMLS,21-3311,N,Y,34.395335,-119.527998,"4755 Sandyland Rd #7, Carpinteria, CA",57500,4791.666666666667,4791.666666666667,baseline_5pct,2.97,140.20197022283054,0.14020197022283054,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Condo/Co-op,4975 Sandyland Rd #107,Carpinteria,CA,93013,2135000,2,1,NA,683,NA,1964,NA,3126,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-107/home/21613653,NA,NA,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #107, Carpinteria, CA",106750,8895.833333333334,8895.833333333334,baseline_5pct,4.06,129.97014644725382,0.12997014644725383,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,August-20-2021,Condo/Co-op,4950 Sandyland #120,Carpinteria,CA,93013,999491,2,2,CARPINTERIA-SUMMERLAND,744,NA,1962,NA,1156,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-120/home/21615638,SBMLS,21-3149,N,Y,34.394428,-119.525032,"4950 Sandyland #120, Carpinteria, CA",49974.55,4164.545833333334,4164.545833333334,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
PAST SALE,NA,Condo/Co-op,4950 Sandyland Rd #226,Carpinteria,CA,93013,726261,1,1,NA,514,NA,1964,NA,1167,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-226/home/21613803,NA,NA,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #226, Carpinteria, CA",36313.05,3026.0875,3026.0875,baseline_5pct,4.43,197.92190997840748,0.19792190997840747,40.8,3225,8,89,1767,106225,1105,204,flood,dbdccfa6d82dab4e523b318b1c3e3ab1
