"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","full_address","rentalval","elevation","rent","longitude","latitude","landval_acre","landshare","landval","strval","parcel_id.x","parcel_id.y","retreat_year_Intermediate","retreat_year_Intermediate_High","retreat_year_High","X","Y"
"MLS Listing",NA,"Condo/Co-op","4902 Sandyland Rd #244","Carpinteria","CA","93013",627400,1,1,"CARPINTERIA-SUMMERLAND",406,435,1968,156,1672,NA,"Active",NA,NA,"https://www.redfin.com/CA/Carpinteria/4902-Sandyland-Rd-93013/unit-244/home/21613812","SBMLS","25-531","N","Y","4902 Sandyland Rd #244, Carpinteria, CA",1478,4.41,17736,-119.5251608,34.3945566,3180800,0.512,321228.8,306171.2,2,2,101,98,69,-119.5251608,34.3945566
"PAST SALE","October-5-2021","Condo/Co-op","4975 Sandyland Rd","Carpinteria","CA","93013",2135000,2,1,"CPTA - Carpinteria",683,868,1964,NA,3126,752,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/home/143304649","CRMLS","BB21180651","N","Y","4975 Sandyland Rd, Carpinteria, CA",1722,3.99,20664,-119.5254722,34.3940477,3180800,0.512,1093120,1041880,4,4,1,1,1,-119.5254722,34.3940477
"PAST SALE","September-12-2023","Condo/Co-op","4975 Sandyland Rd #105","Carpinteria","CA","93013",2550000,2,1,"Carpinteria",683,NA,1964,NA,3734,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-105/home/21615615","SBMLS","23-2719","N","Y","4975 Sandyland Rd #105, Carpinteria, CA",1640,4.06,19680,-119.525147,34.393902,3180800,0.512,1305600,1244400,5,5,1,1,1,-119.525147,34.393902
"PAST SALE",NA,"Condo/Co-op","4975 Sandyland Rd #107","Carpinteria","CA","93013",2135000,2,1,NA,683,NA,1964,NA,3126,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-107/home/21613653",NA,NA,"N","Y","4975 Sandyland Rd #107, Carpinteria, CA",1630,4.06,19560,-119.525147,34.393902,3180800,0.512,1093120,1041880,6,6,1,1,1,-119.525147,34.393902
"PAST SALE","March-19-2021","Single Family Residential","821 Sand Point Rd","Carpinteria","CA","93013",2.3e+07,2,1.5,"CARPINTERIA-SUMMERLAND",3500,4598,2004,NA,6571,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/821-Sand-Point-Rd-93013/home/21611957","SBMLS","21-1008","N","Y","821 Sand Point Rd, Carpinteria, CA",10193,6.07,122316,-119.5450254,34.4040192,3180800,0.512,11776000,11224000,7,7,101,60,38,-119.5450254,34.4040192
"PAST SALE","September-2-2021","Condo/Co-op","4755 Sandyland Rd #7","Carpinteria","CA","93013",983555,2,1,"CARPINTERIA-SUMMERLAND",875,NA,1959,NA,1314,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-7/home/21614166","SBMLS","21-3311","N","Y","4755 Sandyland Rd #7, Carpinteria, CA",1751,2.97,21012,-119.527998,34.395335,3180800,0.512,503580.16,479974.84,8,8,30,8,1,-119.527998,34.395335
"PAST SALE",NA,"Condo/Co-op","4950 Sandyland Rd #226","Carpinteria","CA","93013",681004,1,1,NA,514,NA,1964,NA,1167,NA,NA,NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-226/home/21613803",NA,NA,"N","Y","4950 Sandyland Rd #226, Carpinteria, CA",1451,4.43,17412,-119.525032,34.394428,3180800,0.512,348674.048,332329.952,9,9,101,91,63,-119.525032,34.394428
"PAST SALE","August-20-2021","Condo/Co-op","4950 Sandyland #120","Carpinteria","CA","93013",943447,2,2,"CARPINTERIA-SUMMERLAND",744,NA,1962,NA,1156,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-120/home/21615638","SBMLS","21-3149","N","Y","4950 Sandyland #120, Carpinteria, CA",1654,4.43,19848,-119.525032,34.394428,3180800,0.512,483044.864,460402.136,10,10,101,76,51,-119.525032,34.394428
"PAST SALE","May-26-2022","Condo/Co-op","4700 Sandyland Rd #47","Carpinteria","CA","93013",867627,2,2,"Sandyland Cove",828,NA,1970,NA,1069,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-47/home/21613985","SBMLS","22-1726","N","Y","4700 Sandyland Rd #47, Carpinteria, CA",2084,3.73,25008,-119.5270762,34.3957702,3180800,0.512,444225.024,423401.976,11,11,101,80,54,-119.5270762,34.3957702
"PAST SALE","May-15-2024","Condo/Co-op","4925 Sandyland Rd #F","Carpinteria","CA","93013",4600000,2,3,"Sandyland Cove",1538,NA,1987,NA,2991,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4925-Sandyland-Rd-93013/unit-F/home/21613633","SBMLS","24-1344","N","Y","4925 Sandyland Rd #F, Carpinteria, CA",2913,3.96,34956,-119.525621,34.3941663,3180800,0.512,2355200,2244800,12,12,1,1,1,-119.525621,34.3941663
"PAST SALE","February-26-2021","Condo/Co-op","4700 Sandyland #48","Santa Barbara","CA","93013",1077377,2,2,"CARPINTERIA-SUMMERLAND",828,NA,1970,NA,1057,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-48/home/21614390","SBMLS","21-262","N","Y","4700 Sandyland #48, Santa Barbara, CA",2079,3.73,24948,-119.5270762,34.3957702,3180800,0.512,551617.024,525759.976,13,13,101,62,41,-119.5270762,34.3957702
"PAST SALE","February-9-2024","Condo/Co-op","4700 Sandyland Rd #8","Carpinteria","CA","93013",864688,1,1,"CARPINTERIA-SUMMERLAND",558,435,1970,NA,1774,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-8/home/21614018","SBMLS","24-136","N","Y","4700 Sandyland Rd #8, Carpinteria, CA",1454,3.73,17448,-119.5270762,34.3957702,3180800,0.512,442720.256,421967.744,14,14,94,51,31,-119.5270762,34.3957702
"PAST SALE","December-15-2020","Condo/Co-op","4825 Sandyland Rd #6","Carpinteria","CA","93013",1923774,2,2,"CARPINTERIA-SUMMERLAND",966,871,1978,NA,1548,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Carpinteria/4825-Sandyland-Rd-93013/unit-6/home/21612906","SBMLS","20-4020","N","Y","4825 Sandyland Rd #6, Carpinteria, CA",2120,3.74,25440,-119.5266713,34.3947731,3180800,0.512,984972.288,938801.712,15,15,13,1,1,-119.5266713,34.3947731
