SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,rentalval,rentalval_note
MLS Listing,NA,Single Family Residential,571 Sand Point Rd,Carpinteria,CA,93013,39500000,4,4.5,Sandyland Cove,NA,61855,1992,13,NA,NA,Active,NA,NA,https://www.redfin.com/CA/Carpinteria/571-Sand-Point-Rd-93013/home/21613481,SBMLS,25-3772,N,Y,34.398955,-119.5393746,"571 Sand Point Rd, Carpinteria, CA",9556,text
PAST SALE,October-5-2021,Condo/Co-op,4975 Sandyland Rd,Carpinteria,CA,93013,2135000,2,1,CPTA - Carpinteria,683,868,1964,NA,3126,752,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/home/143304649,CRMLS,BB21180651,N,Y,34.3940477,-119.5254722,"4975 Sandyland Rd, Carpinteria, CA",NA,not_found
PAST SALE,September-12-2023,Condo/Co-op,4975 Sandyland Rd #105,Carpinteria,CA,93013,2550000,2,1,Carpinteria,683,NA,1964,NA,3734,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-105/home/21615615,SBMLS,23-2719,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #105, Carpinteria, CA",NA,not_found
PAST SALE,March-19-2021,Single Family Residential,821 Sand Point Rd,Carpinteria,CA,93013,23000000,2,1.5,CARPINTERIA-SUMMERLAND,3500,4598,2004,NA,6571,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/821-Sand-Point-Rd-93013/home/21611957,SBMLS,21-1008,N,Y,34.4040192,-119.5450254,"821 Sand Point Rd, Carpinteria, CA",NA,not_found
PAST SALE,May-26-2022,Condo/Co-op,4700 Sandyland Rd #47,Carpinteria,CA,93013,884527,2,2,Sandyland Cove,828,NA,1970,NA,1069,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-47/home/21613985,SBMLS,22-1726,N,Y,34.395663,-119.527159,"4700 Sandyland Rd #47, Carpinteria, CA",NA,not_found
PAST SALE,September-2-2021,Condo/Co-op,4755 Sandyland Rd #7,Carpinteria,CA,93013,1067643,2,1,CARPINTERIA-SUMMERLAND,875,NA,1959,NA,1314,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4755-Sandyland-Rd-93013/unit-7/home/21614166,SBMLS,21-3311,N,Y,34.395335,-119.527998,"4755 Sandyland Rd #7, Carpinteria, CA",NA,not_found
PAST SALE,NA,Condo/Co-op,4975 Sandyland Rd #107,Carpinteria,CA,93013,2135000,2,1,NA,683,NA,1964,NA,3126,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4975-Sandyland-Rd-93013/unit-107/home/21613653,NA,NA,N,Y,34.393902,-119.525147,"4975 Sandyland Rd #107, Carpinteria, CA",NA,not_found
PAST SALE,August-20-2021,Condo/Co-op,4950 Sandyland #120,Carpinteria,CA,93013,960315,2,2,CARPINTERIA-SUMMERLAND,744,NA,1962,NA,1156,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-120/home/21615638,SBMLS,21-3149,N,Y,34.394428,-119.525032,"4950 Sandyland #120, Carpinteria, CA",NA,not_found
PAST SALE,NA,Condo/Co-op,4950 Sandyland Rd #226,Carpinteria,CA,93013,717391,1,1,NA,514,NA,1964,NA,1167,NA,NA,NA,NA,https://www.redfin.com/CA/Carpinteria/4950-Sandyland-Rd-93013/unit-226/home/21613803,NA,NA,N,Y,34.394428,-119.525032,"4950 Sandyland Rd #226, Carpinteria, CA",NA,not_found
PAST SALE,February-26-2021,Condo/Co-op,4700 Sandyland #48,Carpinteria,CA,93013,1101457,2,2,CARPINTERIA-SUMMERLAND,828,NA,1970,NA,1057,NA,Sold,NA,NA,https://www.redfin.com/CA/Carpinteria/4700-Sandyland-Rd-93013/unit-48/home/21614390,SBMLS,21-262,N,Y,34.395704,-119.52713,"4700 Sandyland #48, Carpinteria, CA",NA,not_found
