"YYYY","run_up"
2000,2.00820704435454
2001,1.98890025178114
2002,2.19826481929442
2003,1.81369704634156
2004,1.89905388957667
2005,1.67709729147926
2006,1.625857452092
2007,2.00135319305402
2008,2.00939078842265
2009,1.38522388041918
2010,1.76147266806488
2011,1.53676791656878
2012,1.57634403646712
2013,1.34558635887964
2014,1.33982759772459
2015,1.62046078184189
2016,1.79381041223729
2017,1.88309349144725
2018,1.62090773571543
2019,1.81997932748327
2020,1.58716707942847
2021,1.68429002194539
2022,1.26640344211531
2023,2.27109620228758
2024,1.5285915611408
