parcel_id,slr_m,scenario,cliff_dist_m,cliff_exposed_10m,cliff_exposed_25m,cliff_exposed_50m,cliff_exposed_100m,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
1,0.25,HoldTheLine,15.669439804835122,FALSE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,0.5,HoldTheLine,13.97952305659558,FALSE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,0.75,HoldTheLine,12.32901265433446,FALSE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,1,HoldTheLine,11.770508363841119,FALSE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,1.25,HoldTheLine,10.967352074394407,FALSE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,1.5,HoldTheLine,9.782432836889836,TRUE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,1.75,HoldTheLine,9.215813322211813,TRUE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,2,HoldTheLine,8.365672124384655,TRUE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
1,5,HoldTheLine,0.13395920827516924,TRUE,TRUE,TRUE,TRUE,PAST SALE,NA,Single Family Residential,6547 Del Playa Dr,Goleta,CA,93117,1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262,NA,NA,N,Y,34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.666666666667,6666.666666666667,baseline_5pct,14.47,34.85374120738213,0.03485374120738212,21.2,3862,445,1287,1503,24209,137,836,bluff,900ba6495b4a0011001ae6b3bade2992
2,0.25,HoldTheLine,92.1930931195856,FALSE,FALSE,FALSE,TRUE,PAST SALE,April-11-2025,Multi-Family (2-4 Unit),6749 Sabado Tarde Rd,Goleta,CA,93117,3002000,8,4,SB/GOL SOUTH,NA,10018,1965,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953,SBMLS,25-1442,N,Y,34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.333333333334,12508.333333333334,baseline_5pct,8.49,110.28950617090268,0.11028950617090268,21.3,2436,77,457,470,33325,111,348,bluff,900ba6495b4a0011001ae6b3bade2992
