parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,parameter_set,rental_yield,discount_rate,damage_threshold,ADDRESS,PRICE,strval,landval,elevation,LATITUDE,LONGITUDE,rent,npv_rent_to_tstar,buyout_price_uncapped,buyout_price,buyout_capped,buyout_market_100pct,buyout_savings_pct,buyout_savings_dollars,gov_rent_collected,gov_land_recovered,gov_net_cost,gov_outcome
1,Intermediate,LetItGo,44,81,44,12.38946153077234,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,44,44,0,44,44,44,44,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6547 Del Playa Dr,1600000,918400,681600,14.47,34.4091315,-119.8560443,80000,2601698.525451454,3283298.525451454,1600000,TRUE,1600000,0,0,2601698.525451454,681600,-1683298.5254514539,profit
2,Intermediate,LetItGo,81,81,81,83.63046686635117,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6749 Sabado Tarde Rd,3002000,1723148,1278852,8.49,34.410106,-119.8643772,150100,NA,NA,NA,NA,NA,NA,NA,NA,1278852,NA,NA
3,Intermediate,LetItGo,81,81,81,71.3421093692583,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6622 Del Playa Dr,2950000,1693300,1256700,13.93,34.4099714,-119.8596841,147500,NA,NA,NA,NA,NA,NA,NA,NA,1256700,NA,NA
4,Intermediate,LetItGo,81,81,81,65.25849304113083,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6712 Del Playa Dr,1600000,918400,681600,9.41,34.4100074,-119.8630822,80000,NA,NA,NA,NA,NA,NA,NA,NA,681600,NA,NA
5,Intermediate,LetItGo,81,81,81,67.76363385015492,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6640 Del Playa Dr,1895000,1087730,807270,13.7,34.4099598,-119.8603693,94750,NA,NA,NA,NA,NA,NA,NA,NA,807270,NA,NA
6,Intermediate,LetItGo,81,81,81,72.98533438279915,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6766 Del Playa Dr,2125000,1219750,905250,7.91,34.4099837,-119.8651556,106250,NA,NA,NA,NA,NA,NA,NA,NA,905250,NA,NA
7,Intermediate,LetItGo,81,81,81,43.61914778478731,safe,no_retreat_needed,no_retreat,FALSE,0,81,81,0,81,81,81,81,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6891 Del Playa Dr,2298000,1319052,978948,7.35,34.4097721,-119.8693567,114900,NA,NA,NA,NA,NA,NA,NA,NA,978948,NA,NA
8,Intermediate,LetItGo,1,81,1,5.610548296895989,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6565 Del Playa Dr,1540000,883960,656040,15.07,34.409139,-119.857151,77000,77000,733040,733040,FALSE,1540000,52.400000000000006,806960,77000,656040,0,break_even
9,Intermediate,LetItGo,1,81,1,6.408323993661659,immediate_hazard,cliff_immediate_safety,immediate,FALSE,0,1,1,0,1,1,1,1,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6767 Del Playa Dr,1450000,832300,617700,7.3,34.4093815,-119.8652094,72500,72500,690200,690200,FALSE,1450000,52.400000000000006,759800,72500,617700,0,break_even
10,Intermediate,LetItGo,39,81,39,12.432240965792156,within_retreat_threshold,cliff_erosion_ongoing,mid_term,FALSE,0,39,39,0,39,39,39,39,0,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,6697 Del Playa Dr,2650000,1521100,1128900,8.81,34.4095986,-119.8624224,132500,3949169.3403748823,5078069.340374882,2650000,TRUE,2650000,0,0,3949169.3403748823,1128900,-2428069.3403748823,profit
