parameter_set,scenario,cliff_scenario,rental_yield,discount_rate,damage_threshold,n_properties,mean_retreat_year,median_retreat_year,n_immediate,n_early,n_mid,n_late,n_no_retreat,total_buyout_M,total_market_M,gov_net_cost_M,n_capped,n_gov_profit
y0.03_d0.020_t0.15_HoldTheLine,High,HoldTheLine,0.03,0.02,0.15,50,33.53846153846154,35,9,1,23,6,11,57.51746220675092,65.855206,-14.277125578857063,29,30
y0.03_d0.020_t0.15_HoldTheLine,Intermediate,HoldTheLine,0.03,0.02,0.15,50,41.696969696969695,51,9,0,6,18,17,48.105741768,56.423381,-18.622336200756514,24,24
y0.03_d0.020_t0.15_HoldTheLine,Intermediate_High,HoldTheLine,0.03,0.02,0.15,50,35.52777777777778,40.5,9,0,19,8,14,51.892844767999996,60.210484,-14.92790112188164,27,27
y0.03_d0.020_t0.15_LetItGo,High,LetItGo,0.03,0.02,0.15,50,31.622222222222224,34,10,1,28,6,5,68.38876220675091,77.284106,-14.967141748786382,34,35
y0.03_d0.020_t0.15_LetItGo,Intermediate,LetItGo,0.03,0.02,0.15,50,41.12820512820513,46,10,0,10,19,11,58.719886768,67.595126,-21.892651976535902,29,29
y0.03_d0.020_t0.15_LetItGo,Intermediate_High,LetItGo,0.03,0.02,0.15,50,35.06976744186046,39,10,0,23,10,7,64.510866768,73.386106,-17.762279139700823,33,33
y0.04_d0.020_t0.15_HoldTheLine,High,HoldTheLine,0.04,0.02,0.15,50,33.53846153846154,35,9,1,23,6,11,57.690464548,65.855206,-28.65348258298085,30,30
y0.04_d0.020_t0.15_HoldTheLine,Intermediate,HoldTheLine,0.04,0.02,0.15,50,41.696969696969695,51,9,0,6,18,17,48.258639548,56.423381,-32.66928031051222,24,24
y0.04_d0.020_t0.15_HoldTheLine,Intermediate_High,HoldTheLine,0.04,0.02,0.15,50,35.52777777777778,40.5,9,0,19,8,14,52.045742548,60.210484,-28.467965912679055,27,27
y0.04_d0.020_t0.15_LetItGo,High,LetItGo,0.04,0.02,0.15,50,31.622222222222224,34,10,1,28,6,5,68.572014548,77.284106,-31.564117009553275,35,35
