SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,6533 Del Playa Dr,Goleta,CA,93117,,3,2.0,,1383,6098,1989,,,,,,,https://www.redfin.com/CA/Goleta/6533-Del-Playa-Dr-93117/home/21575387,,,Y,Y,34.4090362,-119.8553824
PAST SALE,,Single Family Residential,6519 Del Playa Dr,Goleta,CA,93117,475000,3,4.0,,2025,6098,2005,,235,,,,,https://www.redfin.com/CA/Goleta/6519-Del-Playa-Dr-93117/home/21574260,,,Y,Y,34.4088608,-119.8546365
PAST SALE,February-28-2007,Multi-Family (2-4 Unit),6525 Del Playa Dr,Goleta,CA,93117,2373500,12,8.0,Goleta,,12632,1966,,,,Sold,,,https://www.redfin.com/CA/Goleta/6525-Del-Playa-Dr-93117/home/21574258,SBMLS,06-3995,Y,Y,34.4089332,-119.854919
PAST SALE,,Single Family Residential,6517 Del Playa Dr,Goleta,CA,93117,,3,3.0,,2343,6098,2006,,,,,,,https://www.redfin.com/CA/Goleta/6517-Del-Playa-Dr-93117/home/21519293,,,Y,Y,34.408951,-119.8545574
PAST SALE,,Single Family Residential,6515 Del Playa Dr,Goleta,CA,93117,,3,3.0,,2343,6098,2006,,,,,,,https://www.redfin.com/CA/Goleta/6515-Del-Playa-Dr-93117/home/21519292,,,Y,Y,34.4088722,-119.854475
PAST SALE,,Single Family Residential,6513 Del Playa Dr,Goleta,CA,93117,300000,3,3.0,,2343,6098,2006,,128,,,,,https://www.redfin.com/CA/Goleta/6513-Del-Playa-Dr-93117/home/21519291,,,Y,Y,34.4088681,-119.8543878
PAST SALE,September-28-2017,Multi-Family (2-4 Unit),6551 Del Playa Dr,Goleta,CA,93117,2160000,4,4.0,Goleta,,,1996,,,,Sold,,,https://www.redfin.com/CA/Goleta/6551-Del-Playa-Dr-93117/home/21574303,SBMLS,17-2312,Y,Y,34.4092064,-119.8563741
PAST SALE,July-30-2010,Multi-Family (2-4 Unit),6553 Del Playa Dr,Goleta,CA,93117,1025000,4,2.5,Goleta,,6098,1989,,,,Sold,,,https://www.redfin.com/CA/Goleta/6553-Del-Playa-Dr-93117/home/21575392,SBMLS,08-3830,Y,Y,34.4091905,-119.856455
PAST SALE,July-5-2012,Single Family Residential,6563 Del Playa Dr,Goleta,CA,93117,275000,2,1.0,Santa Barbara,750,,1935,,367,,Sold,,,https://www.redfin.com/CA/Goleta/6563-Del-Playa-Dr-93117/home/21574306,SBMLS,12-1852,Y,Y,34.409129,-119.857067
PAST SALE,,Single Family Residential,6567 Del Playa Dr,Goleta,CA,93117,,4,4.0,,2359,6534,2009,,,,,,,https://www.redfin.com/CA/Goleta/6567-Del-Playa-Dr-93117/home/15040095,,,Y,Y,34.409149,-119.857234
PAST SALE,,Single Family Residential,6569 Del Playa Dr,Goleta,CA,93117,,4,4.0,,2311,6534,2009,,,,,,,https://www.redfin.com/CA/Goleta/6569-Del-Playa-Dr-93117/home/28943282,,,Y,Y,34.4093175,-119.857281
PAST SALE,September-18-2007,Multi-Family (2-4 Unit),6571 Del Playa Dr,Goleta,CA,93117,1350000,4,2.0,Isla Vista,,19602,1935,,,,Sold,,,https://www.redfin.com/CA/Goleta/6571-Del-Playa-Dr-93117/home/21574307,SBMLS,07-3276,Y,Y,34.409171,-119.857412
PAST SALE,,Other,6575 Del Playa Dr,Goleta,CA,93117,1487500,6,8.0,,5140,13504,1999,,289,,,,,https://www.redfin.com/CA/Goleta/6575-Del-Playa-Dr-93117/home/21574308,,,Y,Y,34.409185,-119.857537
PAST SALE,,Other,6579 Del Playa Dr,Goleta,CA,93117,1487500,6,8.0,,5140,13504,,,289,,,,,https://www.redfin.com/CA/Goleta/6579-Del-Playa-Dr-93117/home/21574299,,,Y,Y,34.4091949,-119.8576884
PAST SALE,March-3-2005,Single Family Residential,6581 Del Playa Dr,Goleta,CA,93117-5183,800000,1,1.0,Goleta,1070,1940,1999,,748,,Sold,,,https://www.redfin.com/CA/Goleta/6581-Del-Playa-Dr-93117/home/21574300,SBMLS,05-710,Y,Y,34.4093587,-119.8578364
PAST SALE,April-2-1999,Single Family Residential,6583 Del Playa,Goleta,CA,93117,300000,1,1.0,SB/GOL SOUTH,,,1930,,,,Sold,,,https://www.redfin.com/CA/Goleta/6583-Del-Playa-Dr-93117/home/21522411,SBMLS,99-266,Y,Y,34.4093978,-119.8579026
PAST SALE,,Single Family Residential,6585 Del Playa Dr,Goleta,CA,93117,,3,3.0,,2272,6970,2002,,,,,,,https://www.redfin.com/CA/Goleta/6585-Del-Playa-Dr-93117/home/21522412,,,Y,Y,34.4094368,-119.8579727
PAST SALE,,Single Family Residential,6597 Del Playa Dr,Goleta,CA,93117,1537500,5,4.0,,2443,7405,1997,,629,,,,,https://www.redfin.com/CA/Goleta/6597-Del-Playa-Dr-93117/home/21524325,,,Y,Y,34.4093047,-119.8584297
PAST SALE,,Single Family Residential,6599 Del Playa Dr,Goleta,CA,93117,,5,4.0,,2443,7405,1997,,,,,,,https://www.redfin.com/CA/Goleta/6599-Del-Playa-Dr-93117/home/21574301,,,Y,Y,34.4094806,-119.8586259
PAST SALE,,Single Family Residential,6607 Del Playa Dr,Goleta,CA,93117,450000,4,3.0,,2496,13939,1989,,180,,,,,https://www.redfin.com/CA/Goleta/6607-Del-Playa-Dr-93117/home/21574344,,,Y,Y,34.4094266,-119.8590954
RENTAL,,Multi-Family (2-4 Unit),6631-6633 Del Playa Dr,Goleta,CA,93117,,4,3.0,SB/GOL NORTH,2718,,2008,,,,,,,https://www.redfin.com/CA/Goleta/6631-Del-Playa-Dr-93117/home/21517947,,,Y,Y,34.4095152,-119.8599194
PAST SALE,October-30-2020,Multi-Family (2-4 Unit),6637 Del Playa Dr,Goleta,CA,93117,1750000,8,4.0,SB/GOL SOUTH,2895,12632,1973,,604,,Sold,,,https://www.redfin.com/CA/Goleta/6637-Del-Playa-Dr-93117/home/21574352,SBMLS,20-3226,Y,Y,34.409367,-119.860061
PAST SALE,March-25-2004,Multi-Family (2-4 Unit),6641 Del Playa Dr,Goleta,CA,93117-5014,1200000,3,4.0,Isla Vista,,,1994,,,,Sold,,,https://www.redfin.com/CA/Goleta/6641-Del-Playa-Dr-93117/home/21574342,SBMLS,04-147,Y,Y,34.4095316,-119.8602419
PAST SALE,March-14-2019,Multi-Family (2-4 Unit),6643 Del Playa Dr,Goleta,CA,93117,1525000,5,4.5,SB/GOL SOUTH,,2707,1995,,,,Sold,,,https://www.redfin.com/CA/Goleta/6643-Del-Playa-Dr-93117/home/21574343,SBMLS,17-2247,Y,Y,34.409518,-119.8603273
PAST SALE,,Single Family Residential,6647 Del Playa Dr,Goleta,CA,93117,280000,6,4.0,,2166,5663,1969,,129,,,,,https://www.redfin.com/CA/Goleta/6647-Del-Playa-Dr-93117/home/21574353,,,Y,Y,34.4093939,-119.8606651
RENTAL,,Single Family Residential,6649 Del Playa Dr,Goleta,CA,93117,19000,6,2.5,,,5663,1967,,,,,,,https://www.redfin.com/CA/Goleta/6649-Del-Playa-Dr-93117/home/21574354,,,Y,Y,34.4095229,-119.8608146
