"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"PAST SALE",NA,"Single Family Residential","6547 Del Playa Dr","Goleta","CA","93117",1600000,4,3,NA,1653,6098,1994,NA,968,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6547-Del-Playa-Dr-93117/home/21574262",NA,NA,"N","Y",34.4091315,-119.8560443,"6547 Del Playa Dr, Goleta, CA",80000,6666.66666666667,6666.66666666667,"baseline_5pct",14.47,34.8537412073821,0.0348537412073821,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","April-11-2025","Multi-Family (2-4 Unit)","6749 Sabado Tarde Rd","Goleta","CA","93117",3002000,8,4,"SB/GOL SOUTH",NA,10018,1965,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6749-Sabado-Tarde-Rd-93117/home/21574953","SBMLS","25-1442","N","Y",34.410106,-119.8643772,"6749 Sabado Tarde Rd, Goleta, CA",150100,12508.3333333333,12508.3333333333,"baseline_5pct",8.49,110.289506170903,0.110289506170903,21.3,2436,77,457,470,33325,111,348
"PAST SALE","October-24-2025","Multi-Family (2-4 Unit)","6622 Del Playa Dr","Goleta","CA","93117",2950000,9,5,"SB/GOL SOUTH",NA,4792,1958,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6622-Del-Playa-Dr-93117/home/21574443","SBMLS","25-3292","N","Y",34.4099714,-119.8596841,"6622 Del Playa Dr, Goleta, CA",147500,12291.6666666667,12291.6666666667,"baseline_5pct",13.93,123.595842046917,0.123595842046917,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","June-21-2023","Multi-Family (2-4 Unit)","6712 Del Playa Dr","Goleta","CA","93117",1600000,5,3,"SB/GOL SOUTH",2200,4791,1965,NA,727,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6712-Del-Playa-Dr-93117/home/21574945","SBMLS","23-1196","N","Y",34.4100074,-119.8630822,"6712 Del Playa Dr, Goleta, CA",80000,6666.66666666667,6666.66666666667,"baseline_5pct",9.41,105.683571646813,0.105683571646813,21.3,2436,77,457,470,33325,111,348
"PAST SALE","December-18-2024","Multi-Family (2-4 Unit)","6640 Del Playa Dr","Goleta","CA","93117",1895000,4,4,"SB/GOL SOUTH",NA,6534,NA,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6640-Del-Playa-Dr-93117/home/21575408","SBMLS","24-3646","N","Y",34.4099598,-119.8603693,"6640 Del Playa Dr, Goleta, CA",94750,7895.83333333333,7895.83333333333,"baseline_5pct",13.7,117.443919969895,0.117443919969895,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","October-29-2024","Multi-Family (2-4 Unit)","6766 Del Playa Dr","Goleta","CA","93117",2125000,4,4,"Ellwood/Santa Barbara Shores",1966,4792,1966,NA,1081,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6766-Del-Playa-Dr-93117/home/21574934","SBMLS","24-2896","N","Y",34.4099837,-119.8651556,"6766 Del Playa Dr, Goleta, CA",106250,8854.16666666667,8854.16666666667,"baseline_5pct",7.91,88.6035891475708,0.0886035891475708,21.3,2436,77,457,470,33325,111,348
"PAST SALE","March-25-2025","Single Family Residential","6891 Del Playa Dr","Goleta","CA","93117",2298000,2,2,"SB/GOL SOUTH",1736,5663,1991,NA,1324,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6891-Del-Playa-Dr-93117/home/21574491","SBMLS","25-438","N","Y",34.4097721,-119.8693567,"6891 Del Playa Dr, Goleta, CA",114900,9575,9575,"baseline_5pct",7.35,56.4274448311283,0.0564274448311283,21.3,2436,77,457,470,33325,111,348
"PAST SALE","November-1-2024","Multi-Family (2-4 Unit)","6565 Del Playa Dr","Goleta","CA","93117",1540000,4,3,"SB/GOL SOUTH",NA,6534,NA,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6565-Del-Playa-Dr-93117/home/21575393","SBMLS","24-2857","N","Y",34.409139,-119.857151,"6565 Del Playa Dr, Goleta, CA",77000,6416.66666666667,6416.66666666667,"baseline_5pct",15.07,28.4510397590369,0.0284510397590369,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","November-24-2025","Multi-Family (2-4 Unit)","6767 Del Playa Dr","Goleta","CA","93117",1450000,8,4,"SB/GOL SOUTH",NA,6969,NA,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6767-Del-Playa-Dr-93117/home/21574456","SBMLS","25-2901","N","Y",34.4093815,-119.8652094,"6767 Del Playa Dr, Goleta, CA",72500,6041.66666666667,6041.66666666667,"baseline_5pct",7.3,7.13574530119973,0.00713574530119973,21.3,2436,77,457,470,33325,111,348
"PAST SALE","September-1-2023","Multi-Family (2-4 Unit)","6697 Del Playa Dr","Goleta","CA","93117",2650000,3,3,"SB/GOL NORTH",2109,10454,1975,NA,1257,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6697-Del-Playa-Dr-93117/home/21575402","SBMLS","23-670","N","Y",34.4095986,-119.8624224,"6697 Del Playa Dr, Goleta, CA",132500,11041.6666666667,11041.6666666667,"baseline_5pct",8.81,55.04357895929,0.05504357895929,20.9,2753,306,702,1082,19167,139,292
"PAST SALE","March-7-2025","Multi-Family (2-4 Unit)","6587 Del Playa Dr","Goleta","CA","93117",1410000,7,4.5,"SB/GOL SOUTH",2377,10454,1967,NA,593,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6587-Del-Playa-Dr-93117/home/21575394","SBMLS","23-1367","N","Y",34.4093431,-119.858072,"6587 Del Playa Dr, Goleta, CA",70500,5875,5875,"baseline_5pct",14.44,49.7711736270289,0.0497711736270289,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6595 Del Playa Dr","Goleta","CA","93117",2500000,2,1,NA,920,14375,1928,NA,2717,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6595-Del-Playa-Dr-93117/home/21574309",NA,NA,"N","Y",34.4095858,-119.8583018,"6595 Del Playa Dr, Goleta, CA",125000,10416.6666666667,10416.6666666667,"baseline_5pct",14.19,80.9199759258302,0.0809199759258302,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6533 Del Playa Dr","Goleta","CA","93117",1292103,3,2,NA,1383,6098,1989,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6533-Del-Playa-Dr-93117/home/21575387",NA,NA,"Y","Y",34.4090362,-119.8553824,"6533 Del Playa Dr, Goleta, CA",64605.15,5383.7625,5383.7625,"baseline_5pct",15.49,26.4518252693625,0.0264518252693625,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6519 Del Playa Dr","Goleta","CA","93117",1413245,3,4,NA,2025,6098,2005,NA,235,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6519-Del-Playa-Dr-93117/home/21574260",NA,NA,"Y","Y",34.4088608,-119.8546365,"6519 Del Playa Dr, Goleta, CA",70662.25,5888.52083333333,5888.52083333333,"baseline_5pct",15.98,10.9540546494061,0.0109540546494061,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","February-28-2007","Multi-Family (2-4 Unit)","6525 Del Playa Dr","Goleta","CA","93117",2373500,12,8,"Goleta",NA,12632,1966,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6525-Del-Playa-Dr-93117/home/21574258","SBMLS","06-3995","Y","Y",34.4089332,-119.854919,"6525 Del Playa Dr, Goleta, CA",118675,9889.58333333333,9889.58333333333,"baseline_5pct",15.77,15.6832751084532,0.0156832751084532,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6517 Del Playa Dr","Goleta","CA","93117",1746722,3,3,NA,2343,6098,2006,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6517-Del-Playa-Dr-93117/home/21519293",NA,NA,"Y","Y",34.408951,-119.8545574,"6517 Del Playa Dr, Goleta, CA",87336.1,7278.00833333333,7278.00833333333,"baseline_5pct",16.31,25.895550505998,0.025895550505998,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6515 Del Playa Dr","Goleta","CA","93117",1742964,3,3,NA,2343,6098,2006,NA,NA,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6515-Del-Playa-Dr-93117/home/21519292",NA,NA,"Y","Y",34.4088722,-119.854475,"6515 Del Playa Dr, Goleta, CA",87148.2,7262.35,7262.35,"baseline_5pct",16.28,21.2637448438102,0.0212637448438102,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE",NA,"Single Family Residential","6513 Del Playa Dr","Goleta","CA","93117",1860913,3,3,NA,2343,6098,2006,NA,128,NA,NA,NA,NA,"https://www.redfin.com/CA/Goleta/6513-Del-Playa-Dr-93117/home/21519291",NA,NA,"Y","Y",34.4088681,-119.8543878,"6513 Del Playa Dr, Goleta, CA",93045.65,7753.80416666667,7753.80416666667,"baseline_5pct",16.34,25.631457509855,0.025631457509855,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","September-28-2017","Multi-Family (2-4 Unit)","6551 Del Playa Dr","Goleta","CA","93117",2160000,4,4,"Goleta",NA,NA,1996,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6551-Del-Playa-Dr-93117/home/21574303","SBMLS","17-2312","Y","Y",34.4092064,-119.8563741,"6551 Del Playa Dr, Goleta, CA",108000,9000,9000,"baseline_5pct",13.68,42.7325602813262,0.0427325602813262,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","July-30-2010","Multi-Family (2-4 Unit)","6553 Del Playa Dr","Goleta","CA","93117",1025000,4,2.5,"Goleta",NA,6098,1989,NA,NA,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6553-Del-Playa-Dr-93117/home/21575392","SBMLS","08-3830","Y","Y",34.4091905,-119.856455,"6553 Del Playa Dr, Goleta, CA",51250,4270.83333333333,4270.83333333333,"baseline_5pct",13.85,40.0491967638986,0.0400491967638986,21.2,3862,445,1287,1503,24209,137,836
"PAST SALE","July-5-2012","Single Family Residential","6563 Del Playa Dr","Goleta","CA","93117",930731,2,1,"Santa Barbara",750,NA,1935,NA,367,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Goleta/6563-Del-Playa-Dr-93117/home/21574306","SBMLS","12-1852","Y","Y",34.409129,-119.857067,"6563 Del Playa Dr, Goleta, CA",46536.55,3878.04583333333,3878.04583333333,"baseline_5pct",14.77,27.6668396452875,0.0276668396452875,21.2,3862,445,1287,1503,24209,137,836
