parcel_id,slr_m,depth_m,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
1,0,1.4791401624679565,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,0.25,1.7350196838378906,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,0.5,1.9950026273727417,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,0.75,2.255002498626709,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,1,2.51507568359375,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,1.5,3.023200750350952,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,2,3.6550025939941406,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,2.5,4.189920902252197,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
1,3,4.713394641876221,PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2,Humboldt County,1560,8712,1988,NA,354,NA,Sold,NA,NA,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908,"1179 King Salmon Ave, Eureka, CA",27600,2300,2300,baseline_5pct,1.59,36.32337839377352,0.03632337839377352,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,0,0,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,0.25,0,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,0.5,0.16175159811973572,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,0.75,0.42662468552589417,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,1,0.686873197555542,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,1.5,1.2059283256530762,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,2,1.8417515754699707,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,2.5,2.366873264312744,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
2,3,2.876873254776001,PAST SALE,NA,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,362304,2,1,NA,1512,6098,1959,NA,91,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,NA,NA,Y,Y,40.7407655,-124.2157915,"1201 King Salmon Ave, Eureka, CA",18115.2,1509.6,1509.6,baseline_5pct,1.46,58.43777727195875,0.05843777727195875,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,0,0,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,0.25,0,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,0.5,0,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,0.75,0.12297536432743073,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,1,0.38841238617897034,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,1.5,0.9084123969078064,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,2,1.5628602504730225,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,2.5,2.0784122943878174,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
3,3,2.6029772758483887,PAST SALE,NA,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2,NA,1456,6534,1996,NA,249,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,NA,NA,Y,Y,40.7409544,-124.2156305,"1213 King Salmon Ave, Eureka, CA",18100,1508.3333333333333,1508.3333333333333,baseline_5pct,1.63,67.96957484423035,0.06796957484423036,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
4,0,0,PAST SALE,NA,Single Family Residential,1215 King Salmon Ave,Eureka,CA,95503,345190,1,2.5,NA,1262,5028,1995,NA,147,NA,NA,NA,NA,https://www.redfin.com/CA/Eureka/1215-King-Salmon-Ave-95503/home/115887859,NA,NA,Y,Y,40.7410356,-124.2155921,"1215 King Salmon Ave, Eureka, CA",17259.5,1438.2916666666667,1438.2916666666667,baseline_5pct,1.65,74.2885831336102,0.0742885831336102,46.3,2657,82,38,403,61250,433,106,flood,39371859a198866f7523a3927e1e7817
