parcel_id,scenario,cliff_scenario,retreat_year,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,retreat_trigger,timing_category,cliff_exposure_status,initial_cliff_dist_m,parameter_set,rental_yield,discount_rate,damage_threshold,ADDRESS,PRICE,strval,landval,elevation,LATITUDE,LONGITUDE,rent,npv_rent_to_tstar,buyout_price_uncapped,buyout_price,buyout_capped,buyout_market_100pct,buyout_savings_pct,buyout_savings_dollars,gov_rent_collected,gov_land_recovered,gov_net_cost,gov_outcome
1,Intermediate,NA,1,TRUE,1000,1,1,0,1,1,1,1,0,flood_storm_mc,immediate,not_applicable,NA,baseline,0.05,0.02,0.15,1179 King Salmon Ave,552000,378672,173328,1.59,40.7406328,-124.2156908,27600,27599.999999999996,200928,200928,FALSE,552000,63.6,351072,27599.999999999996,173328,0,break_even
2,Intermediate,NA,68.983,TRUE,1000,68.983,69,1.4187049459714038,66,69,70,70,4,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,1201 King Salmon Ave,362304,248540.544,113763.456,1.46,40.7407655,-124.2157915,18115.2,688181.6701425149,801945.1261425149,362304,TRUE,362304,0,0,688181.6701425149,113763.456,-439641.12614251487,profit
3,Intermediate,NA,80.967,TRUE,1000,80.967,81,0.28282678619782636,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,baseline,0.05,0.02,0.15,1213 King Salmon Ave,362000,248332,113668,1.63,40.7409544,-124.2156305,18100,NA,NA,NA,NA,NA,NA,NA,NA,113668,NA,NA
4,Intermediate,NA,80.988,TRUE,1000,80.988,81,0.11777041169100952,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,baseline,0.05,0.02,0.15,1215 King Salmon Ave,345190,236800.34,108389.66,1.65,40.7410356,-124.2155921,17259.5,NA,NA,NA,NA,NA,NA,NA,NA,108389.66,NA,NA
5,Intermediate,NA,53.136,TRUE,1000,53.136,54,1.1378922615075642,51,52,54,54,3,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,1229 King Salmon Ave,293893,201610.598,92282.402,1.68,40.7411812,-124.2155331,14694.650000000001,487759.1013208512,580041.5033208511,293893,TRUE,293893,0,0,487759.1013208512,92282.402,-286148.5033208512,profit
6,Intermediate,NA,45.908,TRUE,1000,45.908,46,1.1449222012201732,44,45,47,47,3,flood_storm_mc,mid_term,not_applicable,NA,baseline,0.05,0.02,0.15,1237 King Salmon Ave,208480,143017.28,65462.72,1.53,40.7413053,-124.2155155,10424,317439.57164112106,382902.29164112103,208480,TRUE,208480,0,0,317439.57164112106,65462.72,-174422.29164112106,profit
7,Intermediate,NA,51.981,TRUE,1000,51.981,52,1.1392703528736876,50,51,53,53,3,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,1245 King Salmon Ave,315000,216090,98910,1.68,40.7413476,-124.2154337,15750,516300.67606520286,615210.6760652028,315000,TRUE,315000,0,0,516300.67606520286,98910,-300210.67606520286,profit
8,Intermediate,NA,33.246,TRUE,1000,33.246,34,1.1084731447864278,31,33,34,34,3,flood_storm_mc,mid_term,not_applicable,NA,baseline,0.05,0.02,0.15,1337 Buhne Dr,275000,188650,86350,1.22,40.7410645,-124.2162205,13750,338212.4364561554,424562.4364561554,275000,TRUE,275000,0,0,338212.4364561554,86350,-149562.43645615538,profit
9,Intermediate,NA,80.597,TRUE,1000,80.597,81,1.4313069690459974,75,81,81,81,6,no_retreat,no_retreat,not_applicable,NA,baseline,0.05,0.02,0.15,64 Herring St,397000,272342,124658,1.3,40.740805,-124.2164141,19850,NA,NA,NA,NA,NA,NA,NA,NA,124658,NA,NA
10,Intermediate,NA,80.163,TRUE,1000,80.163,81,2.0382800557297287,74,81,81,81,7,no_retreat,no_retreat,not_applicable,NA,baseline,0.05,0.02,0.15,61 Herring St,264655,181553.33000000002,83101.67,1.3,40.7405124,-124.216443,13232.75,NA,NA,NA,NA,NA,NA,NA,NA,83101.67,NA,NA
11,Intermediate,NA,54.549,TRUE,1000,54.549,55,1.2873446532519006,52,54,55,56,4,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,85 Herring St,297000,203742,93258,1.3,40.7407541,-124.2169505,14850,500212.2376385827,593470.2376385827,297000,TRUE,297000,0,0,500212.2376385827,93258,-296470.2376385827,profit
12,Intermediate,NA,74.042,TRUE,1000,74.042,75,1.798741635552886,69.95,74,75,75,5.049999999999997,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,1417 Buhne Dr,362500,248675,113825,1.29,40.7408173,-124.2171311,18125,711034.0258864842,824859.0258864842,362500,TRUE,362500,0,0,711034.0258864842,113825,-462359.0258864842,profit
13,Intermediate,NA,68.85,TRUE,1000,68.85,69,1.5217804755666358,66,68,70,70,4,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,1445 Buhne Dr,281034,192789.324,88244.676,1.3,40.7407323,-124.2172635,14051.7,533330.472562985,621575.148562985,281034,TRUE,281034,0,0,533330.472562985,88244.676,-340541.148562985,profit
14,Intermediate,NA,80.866,TRUE,1000,80.866,81,0.748735336821099,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,baseline,0.05,0.02,0.15,1473 Buhne Dr,275135,188742.61,86392.39,1.3,40.7405944,-124.2174532,13756.75,NA,NA,NA,NA,NA,NA,NA,NA,86392.39,NA,NA
15,Intermediate,NA,80.99,TRUE,1000,80.99,81,0.10914170564872033,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,baseline,0.05,0.02,0.15,1493 Buhne Dr,399000,273714,125286,1.3,40.7404946,-124.2175968,19950,NA,NA,NA,NA,NA,NA,NA,NA,125286,NA,NA
16,Intermediate,NA,50.727,TRUE,1000,50.727,51,1.2369320923159044,49,50,52,52,3,flood_storm_mc,late,not_applicable,NA,baseline,0.05,0.02,0.15,184 Sole St,267907,183784.202,84122.798,1.3,40.740378,-124.2173647,13395.35,432976.6627488554,517099.46074885543,267907,TRUE,267907,0,0,432976.6627488554,84122.798,-249192.46074885543,profit
17,Intermediate,NA,48.437,TRUE,1000,48.437,49,1.189725365975882,46,48,49,50,4,flood_storm_mc,mid_term,not_applicable,NA,baseline,0.05,0.02,0.15,162 Sole St,273097,187344.54200000002,85752.458,1.3,40.7403202,-124.2172265,13654.85,429532.9820149451,515285.4400149451,273097,TRUE,273097,0,0,429532.9820149451,85752.458,-242188.4400149451,profit
