parcel_id,scenario,cliff_scenario,retreat_year,mc_enabled,mc_n_sims,mc_mean_year,mc_median_year,mc_sd_year,mc_q05_year,mc_q25_year,mc_q75_year,mc_q95_year,mc_range_years,retreat_trigger,timing_category,cliff_exposure_status,initial_cliff_dist_m,parameter_set,rental_yield,discount_rate,damage_threshold,ADDRESS,PRICE,strval,landval,elevation,LATITUDE,LONGITUDE,rent,npv_rent_to_tstar,buyout_price_uncapped,buyout_price,buyout_capped,buyout_market_100pct,buyout_savings_pct,buyout_savings_dollars,gov_rent_collected,gov_land_recovered,gov_net_cost,gov_outcome
1,Intermediate,NA,1,TRUE,1000,1,1,0,1,1,1,1,0,flood_storm_mc,immediate,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1179 King Salmon Ave,552000,378672,173328,1.59,40.7406328,-124.2156908,27600,27600,200928,200928,FALSE,552000,63.6,351072,27600,173328,0,break_even
2,Intermediate,NA,68.946,TRUE,1000,68.946,69,1.4550605489811073,66,69,70,70,4,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1201 King Salmon Ave,362304,248540.544,113763.456,1.46,40.7407655,-124.2157915,18115.2,786647.9500028739,900411.4060028739,362304,TRUE,362304,0,0,786647.9500028739,113763.456,-538107.4060028739,profit
3,Intermediate,NA,80.964,TRUE,1000,80.964,81,0.28068270837866516,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1213 King Salmon Ave,362000,248332,113668,1.63,40.7409544,-124.2156305,18100,NA,NA,NA,NA,NA,NA,NA,NA,113668,NA,NA
4,Intermediate,NA,80.986,TRUE,1000,80.986,81,0.11754921445002436,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1215 King Salmon Ave,345190,236800.34,108389.66,1.65,40.7410356,-124.2155921,17259.5,NA,NA,NA,NA,NA,NA,NA,NA,108389.66,NA,NA
5,Intermediate,NA,52.546,TRUE,1000,52.546,53,1.183758964183708,50,52,53,54,4,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1229 King Salmon Ave,293893,201610.598,92282.402,1.68,40.7411812,-124.2155331,14694.650000000001,539591.4745079809,631873.8765079809,293893,TRUE,293893,0,0,539591.4745079809,92282.402,-337980.87650798087,profit
6,Intermediate,NA,44.801,TRUE,1000,44.801,45,1.2111423805093544,42,44,46,46,4,flood_storm_mc,mid_term,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1237 King Salmon Ave,208480,143017.28,65462.72,1.53,40.7413053,-124.2155155,10424,343344.44951033796,408807.169510338,208480,TRUE,208480,0,0,343344.44951033796,65462.72,-200327.16951033796,profit
7,Intermediate,NA,51.396,TRUE,1000,51.396,52,1.2668025847734874,49,51,52,53,4,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1245 King Salmon Ave,315000,216090,98910,1.68,40.7413476,-124.2154337,15750,569927.0398055961,668837.0398055961,315000,TRUE,315000,0,0,569927.0398055961,98910,-353837.0398055961,profit
8,Intermediate,NA,31.311,TRUE,1000,31.311,32,1.1258536967770487,29,31,32,33,4,flood_storm_mc,mid_term,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1337 Buhne Dr,275000,188650,86350,1.22,40.7410645,-124.2162205,13750,346676.96409435675,433026.96409435675,275000,TRUE,275000,0,0,346676.96409435675,86350,-158026.96409435675,profit
9,Intermediate,NA,80.511,TRUE,1000,80.511,81,1.5415107055272939,75,81,81,81,6,no_retreat,no_retreat,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,64 Herring St,397000,272342,124658,1.3,40.740805,-124.2164141,19850,NA,NA,NA,NA,NA,NA,NA,NA,124658,NA,NA
10,Intermediate,NA,80.276,TRUE,1000,80.276,81,1.901430892627823,74,81,81,81,7,no_retreat,no_retreat,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,61 Herring St,264655,181553.33000000002,83101.67,1.3,40.7405124,-124.216443,13232.75,NA,NA,NA,NA,NA,NA,NA,NA,83101.67,NA,NA
11,Intermediate,NA,53.829,TRUE,1000,53.829,54,1.3120520113472942,52,53,55,55,3,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,85 Herring St,297000,203742,93258,1.3,40.7407541,-124.2169505,14850,553991.0984422741,647249.0984422741,297000,TRUE,297000,0,0,553991.0984422741,93258,-350249.09844227415,profit
12,Intermediate,NA,74.007,TRUE,1000,74.007,75,1.8232595194528054,69,74,75,75,6,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1417 Buhne Dr,362500,248675,113825,1.29,40.7408173,-124.2171311,18125,818965.0922318222,932790.0922318222,362500,TRUE,362500,0,0,818965.0922318222,113825,-570290.0922318222,profit
13,Intermediate,NA,68.787,TRUE,1000,68.787,69,1.7113034679914487,65,69,70,70,5,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1445 Buhne Dr,281034,192789.324,88244.676,1.3,40.7407323,-124.2172635,14051.7,609384.1474158799,697628.8234158799,281034,TRUE,281034,0,0,609384.1474158799,88244.676,-416594.82341587986,profit
14,Intermediate,NA,80.851,TRUE,1000,80.851,81,0.7983961650937688,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1473 Buhne Dr,275135,188742.61,86392.39,1.3,40.7405944,-124.2174532,13756.75,NA,NA,NA,NA,NA,NA,NA,NA,86392.39,NA,NA
15,Intermediate,NA,80.983,TRUE,1000,80.983,81,0.1635167812114027,81,81,81,81,0,no_retreat,no_retreat,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,1493 Buhne Dr,399000,273714,125286,1.3,40.7404946,-124.2175968,19950,NA,NA,NA,NA,NA,NA,NA,NA,125286,NA,NA
16,Intermediate,NA,49.975,TRUE,1000,49.975,50,1.153995973436089,48,49,51,51,3,flood_storm_mc,mid_term,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,184 Sole St,267907,183784.202,84122.798,1.3,40.740378,-124.2173647,13395.35,475705.2794193327,559828.0774193327,267907,TRUE,267907,0,0,475705.2794193327,84122.798,-291921.0774193327,profit
17,Intermediate,NA,47.464,TRUE,1000,47.464,48,1.2434831121693009,45,47,48,49,4,flood_storm_mc,mid_term,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,162 Sole St,273097,187344.54200000002,85752.458,1.3,40.7403202,-124.2172265,13654.85,468195.84978215554,553948.3077821556,273097,TRUE,273097,0,0,468195.84978215554,85752.458,-280851.3077821555,profit
18,Intermediate,NA,37.006,TRUE,1000,37.006,37,1.1023516585823143,35,36,38,38,3,flood_storm_mc,mid_term,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,150 Sole St,276892,189947.912,86944.088,1.3,40.7402612,-124.2171174,13844.6,396843.9489450649,483788.0369450649,276892,TRUE,276892,0,0,396843.9489450649,86944.088,-206896.0369450649,profit
19,Intermediate,NA,73.021,TRUE,1000,73.021,74,1.725553979606705,69,73,74,74,5,flood_storm_mc,late,not_applicable,NA,y0.05_d0.015_t0.15_LetItGo,0.05,0.015,0.15,142 Sole St,313833,215289.438,98543.562,1.3,40.7402057,-124.2169684,15691.650000000001,703798.766367676,802342.328367676,313833,TRUE,313833,0,0,703798.766367676,98543.562,-488509.328367676,profit
