parameter_set,scenario,cliff_scenario,rental_yield,discount_rate,damage_threshold,n_properties,mean_retreat_year,median_retreat_year,n_immediate,n_early,n_mid,n_late,n_no_retreat,total_buyout_M,total_market_M,gov_net_cost_M,n_capped,n_gov_profit
y0.03_d0.020_t0.15_LetItGo,High,NA,0.03,0.02,0.15,62,1,1,62,0,0,0,0,6.957701,20.225875,5.093170329928398e-17,0,2
y0.03_d0.020_t0.15_LetItGo,Intermediate,NA,0.03,0.02,0.15,62,1,1,62,0,0,0,0,6.957701,20.225875,5.093170329928398e-17,0,2
y0.03_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.03,0.02,0.15,62,1,1,62,0,0,0,0,6.957701,20.225875,5.093170329928398e-17,0,2
y0.04_d0.020_t0.15_LetItGo,High,NA,0.04,0.02,0.15,62,1.9286935483870968,1,60,1,1,0,0,7.680443777669505,20.225875,-0.14359691554296178,1,3
y0.04_d0.020_t0.15_LetItGo,Intermediate,NA,0.04,0.02,0.15,62,27.108333333333334,18.9775,21,13,13,13,2,15.184725535830786,19.497038,-5.440346107387176,29,36
y0.04_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.04,0.02,0.15,62,8.382032258064516,1,47,8,6,1,0,10.837440537924575,20.225875,-1.1196528764536968,10,12
y0.05_d0.015_t0.15_LetItGo,High,NA,0.05,0.015,0.15,62,8.774725806451613,1,43,13,5,1,0,12.161430414919996,20.225875,-2.2370691844540587,15,21
y0.05_d0.015_t0.15_LetItGo,Intermediate,NA,0.05,0.015,0.15,62,43.92876595744681,47.464,5,3,20,19,15,13.99383089261308,14.907951,-13.442925003856677,42,42
y0.05_d0.015_t0.15_LetItGo,Intermediate_High,NA,0.05,0.015,0.15,62,23.902754098360656,20.175,19,16,21,5,1,16.730068599947696,19.85421,-8.535675206943587,38,44
y0.05_d0.020_t0.15_LetItGo,High,NA,0.05,0.02,0.15,62,10.936870967741935,3.7295,35,17,9,1,0,13.399488819825864,20.225875,-2.374596549085651,17,23
y0.05_d0.020_t0.15_LetItGo,Intermediate,NA,0.05,0.02,0.15,62,45.123659574468086,48.339,4,4,17,22,15,14.204846872640186,14.907951,-11.480049172567497,42,43
y0.05_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.05,0.02,0.15,62,26.00204918032787,23.038,13,20,21,7,1,17.387298479060316,19.85421,-7.848522113647574,42,47
y0.05_d0.020_t0.30_LetItGo,High,NA,0.05,0.02,0.3,62,12.105145161290322,5.6905,35,16,10,1,0,13.982894205221212,20.225875,-2.67934981735067,21,30
y0.05_d0.020_t0.30_LetItGo,Intermediate,NA,0.05,0.02,0.3,62,46.90617021276596,49.487,1,5,19,22,15,14.451206665939736,14.907951,-11.965673702344679,43,45
y0.05_d0.020_t0.30_LetItGo,Intermediate_High,NA,0.05,0.02,0.3,62,28.79732786885246,26.273,10,17,25,9,1,17.977002470740658,19.85421,-8.900348082402601,47,48
y0.05_d0.030_t0.15_LetItGo,High,NA,0.05,0.03,0.15,62,16.004709677419356,12.295,24,23,14,1,0,15.880179630296547,20.225875,-2.48178846065905,27,35
y0.05_d0.030_t0.15_LetItGo,Intermediate,NA,0.05,0.03,0.15,62,47.062872340425535,49.787,1,5,18,23,15,14.442650864338292,14.907951,-8.188816425168689,42,43
y0.05_d0.030_t0.15_LetItGo,Intermediate_High,NA,0.05,0.03,0.15,62,29.375475409836067,26.846,8,16,29,8,1,18.190172262639198,19.85421,-6.279477245688232,47,51
y0.06_d0.020_t0.15_LetItGo,High,NA,0.06,0.02,0.15,62,23.827951612903227,20.9655,10,25,25,2,0,18.493546162026373,20.225875,-9.996649364133058,48,51
y0.06_d0.020_t0.15_LetItGo,Intermediate,NA,0.06,0.02,0.15,62,60.96096875,64.767,1,0,6,25,30,9.452396,9.797948,-13.482527470305039,31,31
y0.06_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.06,0.02,0.15,62,41.69441666666667,39.8365,1,8,31,20,2,19.11339900068047,19.497038,-19.1390250250633,57,57
