parcel_id,slr_m,depth_m
1,0,1.4791401624679565
1,0.25,1.7350196838378906
1,0.5,1.9950026273727417
1,0.75,2.255002498626709
1,1,2.51507568359375
1,1.5,3.023200750350952
1,2,3.6550025939941406
1,2.5,4.189920902252197
1,3,4.713394641876221
2,0,0
2,0.25,0
2,0.5,0.16175159811973572
2,0.75,0.42662468552589417
2,1,0.686873197555542
2,1.5,1.2059283256530762
2,2,1.8417515754699707
2,2.5,2.366873264312744
2,3,2.876873254776001
3,0,0
3,0.25,0
3,0.5,0
3,0.75,0.12297536432743073
3,1,0.38841238617897034
3,1.5,0.9084123969078064
3,2,1.5628602504730225
3,2.5,2.0784122943878174
3,3,2.6029772758483887
4,0,0
4,0.25,0
4,0.5,0
4,0.75,0.07686274498701096
4,1,0.33870813250541687
4,1.5,0.8586816787719727
4,2,1.5369057655334473
4,2.5,2.028707981109619
4,3,2.5663161277770996
5,0,0
5,0.25,0.0860019251704216
5,0.5,0.3028304874897003
5,0.75,0.5728304982185364
5,1,0.8328304886817932
5,1.5,1.3464751243591309
5,2,2.0127358436584473
5,2.5,2.5228304862976074
5,3,3.0515871047973633
6,0,0
6,0.25,0.1633663773536682
6,0.5,0.3585701584815979
6,0.75,0.6378850340843201
6,1,0.895661473274231
6,1.5,1.415661334991455
6,2,2.064072847366333
6,2.5,2.589846611022949
6,3,3.1141369342803955
7,0,0
7,0.25,0.1169305220246315
7,0.5,0.3094209134578705
7,0.75,0.58461761474609375
7,1,0.8418331146240234
7,1.5,1.3662470579147339
7,2,1.9994498491287231
7,2.5,2.538970947265625
7,3,3.06461763381958
8,0,0
8,0.25,0.26651519536972046
8,0.5,0.44683703780174255
8,0.75,0.734858512878418
8,1,0.9768370389938354
8,1.5,1.4968370199203491
8,2,2.1549277305603027
8,2.5,2.6641414165496826
8,3,3.166837215423584
9,0,0
9,0.25,0
9,0.5,0.044440899044275284
9,0.75,0.2987710237503052
9,1,0.5451614260673523
9,1.5,1.0665591955184937
9,2,1.727176308631897
9,2.5,2.2271482944488525
9,3,2.7271764278411865
10,0,0
10,0.25,0
10,0.5,0.05995079502463341
10,0.75,0.31762737035751343
10,1,0.5776273608207703
10,1.5,1.0780882835388184
10,2,1.722537875175476
10,2.5,2.228971004486084
10,3,2.7411739826202393
11,0,0
11,0.25,0.1444862186908722
11,0.5,0.28566819429397583
11,0.75,0.5685985684394836
11,1,0.8013775944709778
11,1.5,1.3113595247268677
11,2,1.9549530744552612
11,2.5,2.4428658485412598
11,3,2.932865858078003
12,0,0
12,0.25,0
12,0.5,0.1234210729598999
12,0.75,0.3965359628200531
12,1,0.6182736158370972
12,1.5,1.114869475364685
12,2,1.7589305639266968
12,2.5,2.24310564994812
12,3,2.7282989025115967
13,0,0
13,0.25,0
13,0.5,0.15367798507213593
13,0.75,0.44312378764152527
13,1,0.6491263508796692
13,1.5,1.1553549766540527
13,2,1.7604862451553345
13,2.5,2.2667737007141113
13,3,2.748199701309204
14,0,0
14,0.25,0
14,0.5,0
14,0.75,0.2721329927444458
14,1,0.46225500106811523
14,1.5,0.9782052040100098
14,2,1.574077844619751
14,2.5,2.0722548961639404
14,3,2.5554563999176025
15,0,0
15,0.25,0
15,0.5,0
15,0.75,0.1052946224808693
15,1,0.30314889550209045
15,1.5,0.8252946138381958
15,2,1.422932505607605
15,2.5,1.9040294885635376
15,3,2.3876442909240723
16,0,0
16,0.25,0.14332100749015808
16,0.5,0.3132762908935547
16,0.75,0.6032498478889465
16,1,0.8532619476318359
16,1.5,1.3533475399017334
16,2,1.9460619688034058
16,2.5,2.4526047706604004
16,3,2.9526312351226807
17,0,0
17,0.25,0.14778612554073334
17,0.5,0.3361819386482239
17,0.75,0.6162903308868408
17,1,0.885977566242218
17,1.5,1.3859810829162598
17,2,1.9759809970855713
17,2.5,2.4783053398132324
17,3,2.9860894680023193
18,0,0
18,0.25,0.20883087813854218
18,0.5,0.418825626373291
18,0.75,0.6948089599609375
18,1,0.9602842330932617
18,1.5,1.4688152074813843
18,2,2.0548088550567627
