SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-20-2024,Single Family Residential,1179 King Salmon Ave,Eureka,CA,95503,552000,3,2.0,Humboldt County,1560,8712,1988,,354,,Sold,,,https://www.redfin.com/CA/Eureka/1179-King-Salmon-Ave-95503/home/115767294,BAREIS,324064285,Y,Y,40.7406328,-124.2156908
PAST SALE,,Single Family Residential,1201 King Salmon Ave,Eureka,CA,95503,138000,2,1.0,,1512,6098,1959,,91,,,,,https://www.redfin.com/CA/Eureka/1201-King-Salmon-Ave-95503/home/115753253,,,Y,Y,40.7407655,-124.2157915
PAST SALE,,Single Family Residential,1213 King Salmon Ave,Eureka,CA,95503,362000,3,2.0,,1456,6534,1996,,249,,,,,https://www.redfin.com/CA/Eureka/1213-King-Salmon-Ave-95503/home/115927792,,,Y,Y,40.7409544,-124.2156305
PAST SALE,,Single Family Residential,1215 King Salmon Ave,Eureka,CA,95503,185000,1,2.5,,1262,5028,1995,,147,,,,,https://www.redfin.com/CA/Eureka/1215-King-Salmon-Ave-95503/home/115887859,,,Y,Y,40.7410356,-124.2155921
PAST SALE,,Single Family Residential,1229 King Salmon Ave,Eureka,CA,95503,130000,2,1.0,,704,6098,1965,,185,,,,,https://www.redfin.com/CA/Eureka/1229-King-Salmon-Ave-95503/home/115888420,,,Y,Y,40.7411812,-124.2155331
PAST SALE,,Single Family Residential,1237 King Salmon Ave,Eureka,CA,95503,,1,1.0,,616,7841,1970,,,,,,,https://www.redfin.com/CA/Eureka/1237-King-Salmon-Ave-95503/home/115840741,,,Y,Y,40.7413053,-124.2155155
PAST SALE,January-20-2023,Single Family Residential,1245 King Salmon Ave,Eureka,CA,95503,315000,2,1.0,Eureka,984,,1984,,320,,Sold,,,https://www.redfin.com/CA/Eureka/1245-King-Salmon-Ave-95503/home/116002750,HAR,263261,Y,Y,40.7413476,-124.2154337
PAST SALE,,Single Family Residential,1337 Buhne Dr,Eureka,CA,95503,275000,2,1.0,,840,4792,1947,,327,,,,,https://www.redfin.com/CA/Eureka/1337-Buhne-Dr-95503/home/116286937,,,Y,Y,40.7410645,-124.2162205
PAST SALE,January-31-2019,Single Family Residential,64 Herring St,Eureka,CA,95503,397000,3,2.0,Eureka,1552,10018,2012,,256,,Sold,,,https://www.redfin.com/CA/Eureka/64-Herring-St-95503/home/115825035,HAR,252759,Y,Y,40.740805,-124.2164141
PAST SALE,,Single Family Residential,61 Herring St,Eureka,CA,95503,175000,1,1.0,,625,5663,1939,,280,,,,,https://www.redfin.com/CA/Eureka/61-Herring-St-95503/home/116310200,,,Y,Y,40.7405124,-124.216443
PAST SALE,September-10-2024,Single Family Residential,85 Herring St,Eureka,CA,95503,297000,2,1.0,Eureka,672,6098,1944,,442,,Sold,,,https://www.redfin.com/CA/Eureka/85-Herring-St-95503/home/115827810,HAR,267443,Y,Y,40.7407541,-124.2169505
