parcel_id,scenario,cliff_scenario,retreat_year,T_flood,T_cliff,initial_cliff_dist,cliff_exposure_status,retreat_trigger,timing_category,parameter_set,rental_yield,discount_rate,damage_threshold,owner_utility,ADDRESS,PRICE,strval,landval,LATITUDE,LONGITUDE,rent,npv_rent,buyout_uncapped,buyout_price
1,Intermediate,LetItGo,81,81,81,186.9546738913217,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5007 Palmetto Ave #42,828200,245147.20000000007,583052.7999999999,37.6600056,-122.4910401,41410,NA,NA,NA
2,Intermediate,LetItGo,81,81,81,155.3416923086843,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,41 Carmel Ave,995000,294520,700480,37.63609,-122.4932101,49750,NA,NA,NA
3,Intermediate,LetItGo,81,81,81,678.4404232709383,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2240 Francisco Blvd,1198000,354608,843392,37.6320284,-122.4901658,59900,NA,NA,NA
4,Intermediate,LetItGo,81,81,81,252.38189454603892,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,131 Carmel Ave,1000000,296000,704000,37.6360591,-122.4915309,50000,NA,NA,NA
5,Intermediate,LetItGo,33,81,33,25.41283430922439,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,208 Palmetto Ave,999000,295704,703296,37.6564052,-122.4923556,49950,1222193.3244643111,1925489.3244643111,999000
6,Intermediate,LetItGo,81,81,81,499.4036814832572,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,77 Montecito Ave,1098000,325008,772992,37.6329518,-122.4929562,54900,NA,NA,NA
7,Intermediate,LetItGo,81,81,81,28.00498136357592,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,100 Palmetto Ave,1550000,458800,1091200,37.6571457,-122.4928403,77500,NA,NA,NA
8,Intermediate,LetItGo,81,81,81,22.096603069958313,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,206 Palmetto Ave,930000,275280,654720,37.656731,-122.492338,46500,NA,NA,NA
9,Intermediate,LetItGo,81,81,81,656.2334034126255,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,88 Westline Dr,1775000,640775,1134225,37.6649013,-122.493092,88750,NA,NA,NA
10,Intermediate,LetItGo,81,81,81,117.2740396446514,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,296 Shoreview Ave,1100000,325600,774400,37.6373322,-122.492518,55000,NA,NA,NA
11,Intermediate,LetItGo,1,81,1,3.70437722799755,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,202 Palmetto Ave #9,888000,262848,625152,37.656438,-122.492683,44400,44400,669552,669552
12,Intermediate,LetItGo,62,81,62,61.17977061080517,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,155 Shell St,1315000,389240,925760,37.6390386,-122.4931949,65750,2370924.8029566705,3296684.8029566705,1315000
13,Intermediate,LetItGo,81,81,81,623.5122757461869,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,147 Hilton Way,1433823,424411.608,1009411.392,37.6322214,-122.4910931,71691.15000000001,NA,NA,NA
14,Intermediate,LetItGo,81,81,81,459.13854370614325,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,268 Fairway Dr,1320000,390720,929280,37.6214565,-122.4907031,66000,NA,NA,NA
15,Intermediate,LetItGo,81,81,81,169.0357148153053,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,73 Carmel Ave,1500000,444000,1056000,37.6360706,-122.4929,75000,NA,NA,NA
16,Intermediate,LetItGo,81,81,81,738.1008000495785,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,174 Pacific Ave,1350000,399600,950400,37.631378,-122.4902847,67500,NA,NA,NA
17,Intermediate,LetItGo,47,81,47,20.929031103013394,within_retreat_threshold,cliff_erosion_ongoing,mid_term,baseline,0.05,0.02,0.15,0,555 Esplanade Ave,1250000,370000,880000,37.6478451,-122.4930981,62500,1930769.6001533964,2810769.6001533964,1250000
18,Intermediate,LetItGo,81,81,81,661.8750658743551,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,125 Pacific Ave,1085000,321160,763840,37.631644,-122.4918635,54250,NA,NA,NA
19,Intermediate,LetItGo,81,81,81,573.9541649297888,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2213 Palmetto Ave,900000,266400,633600,37.6323532,-122.4924017,45000,NA,NA,NA
20,Intermediate,LetItGo,81,81,81,394.0222370079539,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,30 San Jose Ave,1225000,362600,862400,37.6338549,-122.4935196,61250,NA,NA,NA
21,Intermediate,LetItGo,1,81,1,2.840937393632772,immediate_hazard,cliff_immediate_safety,immediate,baseline,0.05,0.02,0.15,0,218 Palmetto Ave #5,1300000,384800,915200,37.656782,-122.4926145,65000,65000,980200,980200
22,Intermediate,LetItGo,81,81,81,265.52454283756737,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5017 Palmetto Ave #65,723203,214068.08800000005,509134.91199999995,37.6602398,-122.4901655,36160.15,NA,NA,NA
23,Intermediate,LetItGo,81,81,81,297.6039913347879,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,201 Golden Bay Dr,1430000,423280.0000000001,1006719.9999999999,37.6585186,-122.4892871,71500,NA,NA,NA
24,Intermediate,LetItGo,81,81,81,351.12894461804785,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1307 SKYLINE Dr,1300000,469300,830700,37.6611717,-122.4898473,65000,NA,NA,NA
25,Intermediate,LetItGo,81,81,81,250.59268636607607,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,6 Misty Harbor Ct,3100000,917600,2182400,37.6440216,-122.4905283,155000,NA,NA,NA
26,Intermediate,LetItGo,65,81,65,64.41931203239368,safe,cliff_planned_retreat,late,baseline,0.05,0.02,0.15,0,150 Surf St,1420000,420320,999680,37.6380027,-122.4931305,71000,2621420.4550521644,3621100.4550521644,1420000
27,Intermediate,LetItGo,81,81,81,506.9007653099227,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,173 Santa Rosa Ave,1750000,518000,1232000,37.6335506,-122.4907451,87500,NA,NA,NA
28,Intermediate,LetItGo,48,81,48,41.560227059803104,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,260 Shoreview Ave,1250000,370000,880000,37.6373337,-122.4933799,62500,1955411.3726994079,2835411.372699408,1250000
29,Intermediate,LetItGo,46,81,46,20.27668726387679,within_retreat_threshold,cliff_erosion_ongoing,mid_term,baseline,0.05,0.02,0.15,0,559 Esplanade Ave,1550000,458800,1091200,37.6477075,-122.4931082,77500,2362987.3902740153,3454187.3902740153,1550000
30,Intermediate,LetItGo,81,81,81,286.15328270355934,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5006 Palmetto Ave,1604001,474784.2960000001,1129216.704,37.661158,-122.4909698,80200.05,NA,NA,NA
31,Intermediate,LetItGo,81,81,81,712.0945362119696,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2332 Beach Blvd,1400000,414400,985600,37.6309817,-122.4936434,70000,NA,NA,NA
32,Intermediate,LetItGo,81,81,81,773.0163858934277,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2355 Beach Blvd #301,740161,219087.65600000002,521073.344,37.630445,-122.4932856,37008.05,NA,NA,NA
33,Intermediate,LetItGo,81,81,81,324.06503707996575,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1977 Beach Blvd,1365000,404040,960960,37.6344789,-122.4940134,68250,NA,NA,NA
34,Intermediate,LetItGo,81,81,81,585.8176506749975,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,189 Belcrest Ave,1400000,505400,894600,37.6642651,-122.4923578,70000,NA,NA,NA
35,Intermediate,LetItGo,81,81,81,319.5293880971638,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,145 Santa Maria Ave,1010000,298960,711040,37.6354378,-122.4911901,50500,NA,NA,NA
36,Intermediate,LetItGo,81,81,81,332.94303904342206,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,44 Salada Ave,1900000,562400,1337600,37.634445,-122.493164,95000,NA,NA,NA
37,Intermediate,LetItGo,50,81,50,45.91907682831001,safe,cliff_planned_retreat,mid_term,baseline,0.05,0.02,0.15,0,135 Shell St,1050000,310800,739200,37.639037,-122.4933678,52500,1682734.0956050584,2421934.0956050586,1050000
38,Intermediate,LetItGo,81,81,81,834.0484211961514,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,109 Clarendon Rd,1075000,318200,756800,37.6300347,-122.4919425,53750,NA,NA,NA
39,Intermediate,LetItGo,81,81,81,296.276707881939,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,140 Carmel Ave,1698000,502608,1195392,37.6357162,-122.4912351,84900,NA,NA,NA
40,Intermediate,LetItGo,81,81,81,230.1130815067866,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5003 Palmetto Ave #89,718984,212819.26400000002,506164.736,37.6606377,-122.4911437,35949.200000000004,NA,NA,NA
41,Intermediate,LetItGo,81,81,81,773.0163858934277,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2355 Beach Blvd #102,780798,231116.20799999998,549681.792,37.630445,-122.4932856,39039.9,NA,NA,NA
42,Intermediate,LetItGo,81,81,81,253.157121842008,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,116 Avalon Dr,1100000,325600,774400,37.6469583,-122.4904838,55000,NA,NA,NA
43,Intermediate,LetItGo,81,81,81,13.867906897465785,within_retreat_threshold,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,212 Shoreview Ave,1439000,425944.0000000001,1013055.9999999999,37.6378762,-122.4940143,71950,NA,NA,NA
44,Intermediate,LetItGo,81,81,81,306.2790140744961,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,89 Salada Ave,1050000,310800,739200,37.6348397,-122.492536,52500,NA,NA,NA
45,Intermediate,LetItGo,81,81,81,858.0845571669583,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,159 Clarendon Rd,1230000,364080,865920,37.6300668,-122.4907487,61500,NA,NA,NA
46,Intermediate,LetItGo,81,81,81,732.4080337923602,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,2336 Beach Blvd,1252500,370740,881760,37.6307989,-122.4936295,62625,NA,NA,NA
47,Intermediate,LetItGo,81,81,81,172.04275243526,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5005 Palmetto Ave #54,850000,251600,598400,37.6601803,-122.4914784,42500,NA,NA,NA
48,Intermediate,LetItGo,81,81,81,315.77758515686935,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,5020 Palmetto Ave,1150000,340400,809600,37.660891,-122.4900668,57500,NA,NA,NA
49,Intermediate,LetItGo,81,81,81,334.20597415214786,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,1329 Skyline Dr,1400000,505400,894600,37.6614669,-122.4905718,70000,NA,NA,NA
50,Intermediate,LetItGo,81,81,81,623.4509175407469,safe,no_retreat_needed,no_retreat,baseline,0.05,0.02,0.15,0,145 Hilton Way,826591,244670.936,581920.064,37.6322391,-122.4910428,41329.55,NA,NA,NA
