SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-11-2018,Single Family Residential,61 Elder Ln,Pacifica,CA,94044,1750000,3,2.5,PACIFICA,2347,2750,1925,,746,,Sold,,,https://www.redfin.com/CA/Pacifica/61-Elder-Ln-94044/home/620246,MLSListings,ML81730043,Y,Y,37.6301734,-122.4934897
PAST SALE,,Single Family Residential,61 Clarendon Rd,Pacifica,CA,94044,177000,1,1.0,,630,1650,1950,,281,,,,,https://www.redfin.com/CA/Pacifica/61-Clarendon-Rd-94044/home/1890006,,,Y,Y,37.6300165,-122.4934991
PAST SALE,September-28-2017,Single Family Residential,45 Clarendon Rd,Pacifica,CA,94044,1665000,3,2.0,Pacifica,2620,4138,1996,,635,,Sold,,,https://www.redfin.com/CA/Pacifica/45-Clarendon-Rd-94044/home/1923607,San Francisco MLS,461087,Y,Y,37.6300526,-122.4936931
PAST SALE,November-7-2008,Single Family Residential,2409 BEACH Blvd,Pacifica,CA,94044,720000,4,2.0,WEST SHARP PARK,2000,,1909,,360,,Sold,,,https://www.redfin.com/CA/Pacifica/2409-Beach-Blvd-94044/home/1077370,MLSListings,ML80820228,Y,Y,37.6300535,-122.4937153
PAST SALE,,Single Family Residential,2347 Beach Blvd,Pacifica,CA,94044,450000,3,2.5,,1750,2535,1988,,257,,,,,https://www.redfin.com/CA/Pacifica/2347-Beach-Blvd-94044/home/1982574,,,Y,Y,37.6306867,-122.4931961
PAST SALE,,Single Family Residential,2345 Beach Blvd,Pacifica,CA,94044,840000,3,2.5,,1750,2535,1988,,480,,,,,https://www.redfin.com/CA/Pacifica/2345-Beach-Blvd-94044/home/1329890,,,Y,Y,37.6307488,-122.4931962
PAST SALE,March-15-2013,Townhouse,2333 BEACH Blvd,Pacifica,CA,94044,555000,3,2.5,Pacifica,1750,2535,1988,,317,550,Sold,,,https://www.redfin.com/CA/Pacifica/2333-Beach-Blvd-94044/home/1895822,MLSListings,ML81300374,Y,Y,37.6308294,-122.4931999
PAST SALE,,Single Family Residential,2331 Beach Blvd,Pacifica,CA,94044,269500,3,2.5,,1750,2535,1988,,154,,,,,https://www.redfin.com/CA/Pacifica/2331-Beach-Blvd-94044/home/1588848,,,Y,Y,37.6308923,-122.4931987
PAST SALE,February-11-1999,Townhouse,2327 BEACH Blvd,Pacifica,CA,94044,325000,3,2.5,BEACH VILLAGE,1750,,,,186,197,Sold,,,https://www.redfin.com/CA/Pacifica/2327-Beach-Blvd-94044/home/620587,MLSListings,ML89856631,Y,Y,37.6309741,-122.4931959
PAST SALE,January-11-2008,Townhouse,2325 BEACH Blvd,Pacifica,CA,94044,636100,3,2.5,Pacifica,1750,2535,1995,,363,457,Sold,,,https://www.redfin.com/CA/Pacifica/2325-Beach-Blvd-94044/home/1799753,MLSListings,ML80730057,Y,Y,37.6310351,-122.4931955
PAST SALE,October-12-2006,Townhouse,2344 BEACH Blvd,Pacifica,CA,94044,807000,3,2.5,Pacifica,1470,2384,1997,,549,366,Sold,,,https://www.redfin.com/CA/Pacifica/2344-Beach-Blvd-94044/home/622583,MLSListings,ML80649272,Y,Y,37.6306852,-122.4936317
PAST SALE,August-20-1999,Townhouse,2334 BEACH Blvd,Pacifica,CA,94044,360000,3,2.5,BEACH VILLAGE,1470,,,,245,205,Sold,,,https://www.redfin.com/CA/Pacifica/2334-Beach-Blvd-94044/home/1303433,MLSListings,ML89931108,Y,Y,37.6309339,-122.4936226
PAST SALE,,Single Family Residential,2328 Beach Blvd,Pacifica,CA,94044,380000,3,2.5,,1470,2384,1988,,259,,,,,https://www.redfin.com/CA/Pacifica/2328-Beach-Blvd-94044/home/1588150,,,Y,Y,37.6310548,-122.4936313
PAST SALE,,Single Family Residential,2326 Beach Blvd,Pacifica,CA,94044,236000,3,2.5,,1470,2384,1988,,161,,,,,https://www.redfin.com/CA/Pacifica/2326-Beach-Blvd-94044/home/2036170,,,Y,Y,37.6311168,-122.4936307
PAST SALE,February-21-2007,Single Family Residential,43 BIRCH Ln,Pacifica,CA,94044,690250,2,1.0,Cottage City,1120,4000,1950,,616,,Sold,,,https://www.redfin.com/CA/Pacifica/43-Birch-Ln-94044/home/1563113,MLSListings,ML80667855,Y,Y,37.6316722,-122.4935885
PAST SALE,,Condo/Co-op,20 Santa Rosa Ave,Pacifica,CA,94044,,3,3.0,,1992,,2015,,,,,,,https://www.redfin.com/CA/Pacifica/20-Santa-Rosa-Ave-94044/home/69713912,,,Y,Y,37.6331852,-122.493637
PAST SALE,September-23-2020,Condo/Co-op,27 Montecito Ave,Pacifica,CA,94044,1630000,4,3.5,PACIFICA,2339,,2017,,697,,Sold,,,https://www.redfin.com/CA/Pacifica/27-Montecito-Ave-94044/home/146704866,MLSListings,ML81807260,Y,Y,37.632943,-122.493537
PAST SALE,February-25-2021,Condo/Co-op,23 Montecito Ave,Pacifica,CA,94044,1925000,4,4.0,PACIFICA,3186,,2017,,604,,Sold,,,https://www.redfin.com/CA/Pacifica/23-Montecito-Ave-94044/home/146705061,MLSListings,ML81810822,Y,Y,37.6328718,-122.493664
PAST SALE,,Condo/Co-op,17 Montecito Ave,Pacifica,CA,94044,,3,4.0,,2191,,2017,,,,,,,https://www.redfin.com/CA/Pacifica/17-Montecito-Ave-94044/home/146705060,,,Y,Y,37.632939,-122.493724
PAST SALE,,Multi-Family (2-4 Unit),1 Montecito Ave,Pacifica,CA,94044,61000,6,4.0,,4436,5805,1961,,14,,,,,https://www.redfin.com/CA/Pacifica/1-Montecito-Ave-94044/home/2004486,,,Y,Y,37.6329116,-122.4940195
