SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,full_address,annual_rental_income,monthly_rental_income,rentalval,rentalval_note,elevation,distance_to_coast_meters,distance_to_coast_km,median_ageE,whiteE,blackE,asianE,hispanicE,median_incomeE,educationE,unemploymentE,hazard_type,property_id
PAST SALE,July-1-2024,Single Family Residential,296 Shoreview Ave,Pacifica,CA,94044,1100000,3,1,PACIFICA,1050,5900,1953,NA,1048,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/296-Shoreview-Ave-94044/home/1929823,MLSListings,ML81967902,N,Y,37.6373322,-122.492518,"296 Shoreview Ave, Pacifica, CA",55000,4583.333333333333,4583.333333333333,baseline_5pct,12.14,346.27387527776244,0.34627387527776243,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,September-17-2024,Single Family Residential,155 Shell St,Pacifica,CA,94044,1315000,3,2,PACIFICA,1170,5000,1954,NA,1124,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/155-Shell-St-94044/home/1673537,MLSListings,ML81978455,N,Y,37.6390386,-122.4931949,"155 Shell St, Pacifica, CA",65750,5479.166666666667,5479.166666666667,baseline_5pct,11.97,264.893448369333,0.264893448369333,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,April-2-2024,Single Family Residential,555 Esplanade Ave,Pacifica,CA,94044,1250000,2,1,PACIFICA,750,4992,1949,NA,1667,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/555-Esplanade-Ave-94044/home/2023220,MLSListings,ML81956376,N,Y,37.6478451,-122.4930981,"555 Esplanade Ave, Pacifica, CA",62500,5208.333333333333,5208.333333333333,baseline_5pct,24.46,244.42868344090425,0.24442868344090424,42.8,2226,153,813,725,154348,1047,97,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,April-26-2024,Single Family Residential,150 Surf St,Pacifica,CA,94044,1420000,4,2,PACIFICA,1570,5000,1954,NA,904,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/150-Surf-St-94044/home/1629746,MLSListings,ML81958190,N,Y,37.6380027,-122.4931305,"150 Surf St, Pacifica, CA",71000,5916.666666666667,5916.666666666667,baseline_5pct,11.67,275.7342830375746,0.2757342830375746,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,February-21-2024,Single Family Residential,260 Shoreview Ave,Pacifica,CA,94044,1250000,3,1,Not Listed,1050,5000,1953,NA,1190,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/260-Shoreview-Ave-94044/home/584216,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41048044,N,Y,37.6373337,-122.4933799,"260 Shoreview Ave, Pacifica, CA",62500,5208.333333333333,5208.333333333333,baseline_5pct,10.9,250.35282953485628,0.25035282953485627,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,April-27-2023,Single Family Residential,559 Esplanade Ave,Pacifica,CA,94044,1550000,2,2,Pacific Manor,NA,4992,1949,NA,NA,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/559-Esplanade-Ave-94044/home/1510343,San Francisco MLS,423725992,N,Y,37.6477075,-122.4931082,"559 Esplanade Ave, Pacifica, CA",77500,6458.333333333333,6458.333333333333,baseline_5pct,24.4,243.79281652168982,0.24379281652168983,42.8,2226,153,813,725,154348,1047,97,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,March-21-2025,Single Family Residential,135 Shell St,Pacifica,CA,94044,1050000,3,1,Pacifica,1050,5000,1954,NA,1000,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/135-Shell-St-94044/home/1116401,San Francisco MLS,425014830,N,Y,37.639037,-122.4933678,"135 Shell St, Pacifica, CA",52500,4375,4375,baseline_5pct,11.59,245.65811047619582,0.24565811047619582,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,November-20-2024,Single Family Residential,212 Shoreview Ave,Pacifica,CA,94044,1439000,2,2,PACIFICA,1300,7275,1955,NA,1107,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/212-Shoreview-Ave-94044/home/1640374,MLSListings,ML81981099,N,Y,37.6378762,-122.4940143,"212 Shoreview Ave, Pacifica, CA",71950,5995.833333333333,5995.833333333333,baseline_5pct,10.65,177.83010475564438,0.1778301047556444,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,September-29-2025,Single Family Residential,236 Shoreview Ave,Pacifica,CA,94044,1700000,2,2,Pacifica,1300,11235,1955,NA,1308,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/236-Shoreview-Ave-94044/home/1596589,MLSListings,ML82012956,N,Y,37.6374817,-122.4939614,"236 Shoreview Ave, Pacifica, CA",85000,7083.333333333333,7083.333333333333,baseline_5pct,10.4,185.1162323116451,0.1851162323116451,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
PAST SALE,May-23-2025,Single Family Residential,125 Shell St,Pacifica,CA,94044,970000,3,1,Pacifica,1050,6100,1954,NA,924,NA,Sold,NA,NA,https://www.redfin.com/CA/Pacifica/125-Shell-St-94044/home/1571499,BAREIS,424074710,N,Y,37.63904,-122.4935417,"125 Shell St, Pacifica, CA",48500,4041.6666666666665,4041.6666666666665,baseline_5pct,11.38,226.295173085926,0.226295173085926,40.1,2798,174,615,804,142134,1107,136,bluff,3b4c2e1adc46492c5a4bcbf7cca5c7db
