"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"MLS Listing",NA,"Condo/Co-op","5007 Palmetto Ave #42","Pacifica","CA",94044,828200,2,1,"PACIFICA",1000,NA,1973,13,828,848,"Active","November-22-2025 02:00 PM","November-22-2025 04:00 PM","https://www.redfin.com/CA/Pacifica/5007-Palmetto-Ave-94044/unit-42/home/1243509","MLSListings","ML82026977","N","Y",37.6600056,-122.4910401,"5007 Palmetto Ave #42, Pacifica, CA",41410,3450.83333333333,3450.83333333333,"baseline_5pct",79.63,430.311322384698,0.430311322384698,44.1,1373,151,1589,1381,151676,998,183
"MLS Listing",NA,"Multi-Family (2-4 Unit)","41 Carmel Ave","Pacifica","CA",94044,995000,2,2,"PACIFICA",1564,3510,1959,16,636,NA,"Active",NA,NA,"https://www.redfin.com/CA/Pacifica/41-Carmel-Ave-94044/home/2050146","MLSListings","ML82026669","N","Y",37.63609,-122.4932101,"41 Carmel Ave, Pacifica, CA",49750,4145.83333333333,4145.83333333333,"baseline_5pct",11.03,273.659923391178,0.273659923391178,40.1,2798,174,615,804,142134,1107,136
"MLS Listing",NA,"Single Family Residential","2240 Francisco Blvd","Pacifica","CA",94044,1198000,2,2,"PACIFICA",1126,4406,2015,21,1064,NA,"Active",NA,NA,"https://www.redfin.com/CA/Pacifica/2240-Francisco-Blvd-94044/home/620239","MLSListings","ML82025625","N","Y",37.6320284,-122.4901658,"2240 Francisco Blvd, Pacifica, CA",59900,4991.66666666667,4991.66666666667,"baseline_5pct",11.63,626.846830168303,0.626846830168303,40.1,2798,174,615,804,142134,1107,136
"MLS Listing",NA,"Single Family Residential","131 Carmel Ave","Pacifica","CA",94044,1e+06,1,1,"PACIFICA",914,2910,1939,72,1094,NA,"Active",NA,NA,"https://www.redfin.com/CA/Pacifica/131-Carmel-Ave-94044/home/619699","MLSListings","ML82007558","N","Y",37.6360591,-122.4915309,"131 Carmel Ave, Pacifica, CA",50000,4166.66666666667,4166.66666666667,"baseline_5pct",12.28,460.637698686247,0.460637698686247,40.1,2798,174,615,804,142134,1107,136
"MLS Listing",NA,"Condo/Co-op","208 Palmetto Ave","Pacifica","CA",94044,999000,2,2,"Fairmont",1445,NA,1985,146,691,840,"Active","November-23-2025 02:00 PM","November-23-2025 04:00 PM","https://www.redfin.com/CA/Pacifica/208-Palmetto-Ave-94044/home/1166078","San Francisco MLS","425038671","N","Y",37.6564052,-122.4923556,"208 Palmetto Ave, Pacifica, CA",49950,4162.5,4162.5,"baseline_5pct",41.37,296.690473912584,0.296690473912584,42.8,2226,153,813,725,154348,1047,97
"MLS Listing",NA,"Single Family Residential","77 Montecito Ave","Pacifica","CA",94044,1098000,2,1.5,"PACIFICA",1270,2250,1989,161,865,NA,"Active",NA,NA,"https://www.redfin.com/CA/Pacifica/77-Montecito-Ave-94044/home/620136","MLSListings","ML82010813","N","Y",37.6329518,-122.4929562,"77 Montecito Ave, Pacifica, CA",54900,4575,4575,"baseline_5pct",7.91,313.044948028232,0.313044948028232,40.1,2798,174,615,804,142134,1107,136
"MLS Listing",NA,"Single Family Residential","100 Palmetto Ave","Pacifica","CA",94044,1550000,3,2,"Pacifica",3000,190357,NA,542,517,NA,"Active",NA,NA,"https://www.redfin.com/CA/Pacifica/100-Palmetto-Ave-94044/home/1290732","MetroList","424011116","N","Y",37.6571457,-122.4928403,"100 Palmetto Ave, Pacifica, CA",77500,6458.33333333333,6458.33333333333,"baseline_5pct",44.82,240.124034005069,0.240124034005069,42.8,2226,153,813,725,154348,1047,97
"PAST SALE","May-24-2024","Condo/Co-op","206 Palmetto Ave","Pacifica","CA",94044,930000,2,2,"Pacifica",1281,129367,1985,NA,726,840,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/206-Palmetto-Ave-94044/home/2007310","MLSListings","ML81962220","N","Y",37.656731,-122.492338,"206 Palmetto Ave, Pacifica, CA",46500,3875,3875,"baseline_5pct",43.25,297.493241370295,0.297493241370295,42.8,2226,153,813,725,154348,1047,97
"PAST SALE","October-31-2024","Single Family Residential","88 Westline Dr","Daly City","CA",94015,1775000,7,3,"DALY CITY",2410,4320,1960,NA,737,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Daly-City/88-Westline-Dr-94015/home/1860268","MLSListings","ML81980220","N","Y",37.6649013,-122.493092,"88 Westline Dr, Daly City, CA",88750,7395.83333333333,7395.83333333333,"baseline_5pct",80.41,184.597853345577,0.184597853345577,42.7,1482,349,3312,1402,136445,1551,244
"PAST SALE","July-1-2024","Single Family Residential","296 Shoreview Ave","Pacifica","CA",94044,1100000,3,1,"PACIFICA",1050,5900,1953,NA,1048,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Pacifica/296-Shoreview-Ave-94044/home/1929823","MLSListings","ML81967902","N","Y",37.6373322,-122.492518,"296 Shoreview Ave, Pacifica, CA",55000,4583.33333333333,4583.33333333333,"baseline_5pct",12.14,346.273875277762,0.346273875277762,40.1,2798,174,615,804,142134,1107,136
