SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,May-18-2022,Single Family Residential,149 Los Angeles Ave,Oxnard,CA,93035,1033000,2,1.0,VENTURA,798,1250,1950,,1294,,Sold,,,https://www.redfin.com/CA/Oxnard/149-Los-Angeles-Ave-93035/home/4740381,SBMLS,22-1061,N,Y,34.1496122,-119.2141914
PAST SALE,February-7-2025,Single Family Residential,1008 Ocean Dr,Oxnard,CA,93035,1600000,3,3.0,Silverstrand Beach - 0308,2042,2450,1973,,784,,Sold,,,https://www.redfin.com/CA/Oxnard/1008-Ocean-Dr-93035/home/4526553,CRMLS,V1-27373,N,Y,34.1518541,-119.2177912
PAST SALE,,Single Family Residential,901 Ocean Dr,Oxnard,CA,93035,3100000,4,5.0,,3502,2178,2005,,885,,,,,https://www.redfin.com/CA/Oxnard/901-Ocean-Dr-93035/home/4526763,,,Y,Y,34.1510734,-119.2177976
PAST SALE,May-14-2025,Single Family Residential,124 Fillmore Ave,Oxnard,CA,93035,1300000,2,1.0,Other (OTHR),826,2178,1949,,1574,,Sold,,,https://www.redfin.com/CA/Oxnard/124-Fillmore-Ave-93035/home/4527275,CRMLS,SR25106695,N,Y,34.1535101,-119.2185107
PAST SALE,,Single Family Residential,116 Eagle Rock Ave,Oxnard,CA,93035,985000,3,1.0,,964,2178,1946,,1022,,,,,https://www.redfin.com/CA/Oxnard/116-Eagle-Rock-Ave-93035/home/4526220,,,N,Y,34.1505396,-119.2162092
PAST SALE,,Single Family Residential,121 Van Nuys Ave,Oxnard,CA,93035,1050000,3,2.0,,1062,2178,1958,,989,,,,,https://www.redfin.com/CA/Oxnard/121-Van-Nuys-Ave-93035/home/4526260,,,N,Y,34.1500614,-119.2155811
PAST SALE,,Single Family Residential,1400 Ocean Dr,Oxnard,CA,93035,2375000,5,4.0,,2303,2178,1977,,1031,,,,,https://www.redfin.com/CA/Oxnard/1400-Ocean-Dr-93035/home/4527240,,,N,Y,34.1534012,-119.2191153
PAST SALE,,Single Family Residential,112 Santa Paula Ave,Oxnard,CA,93035,1203500,4,2.0,,1895,2178,1956,,635,,,,,https://www.redfin.com/CA/Oxnard/112-Santa-Paula-Ave-93035/home/4527337,,,N,Y,34.1529103,-119.2183604
PAST SALE,,Single Family Residential,136 Simi Ave,Oxnard,CA,93035,839000,3,2.0,,1202,2450,1970,,698,,,,,https://www.redfin.com/CA/Oxnard/136-Simi-Ave-93035/home/4527937,,,N,Y,34.15645,-119.2208407
