"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","full_address","rentalval","elevation","rent","longitude","latitude","landval_acre","landshare","landval","strval","retreat_year_Intermediate","retreat_year_Intermediate_High","retreat_year_High","X","Y"
"PAST SALE","May-18-2022","Single Family Residential","149 Los Angeles Ave","Oxnard","CA","93035",1033000,2,1,"VENTURA",798,1250,1950,NA,1294,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Oxnard/149-Los-Angeles-Ave-93035/home/4740381","SBMLS","22-1061","N","Y","149 Los Angeles Ave, Oxnard, CA",4258,3.64,51096,-119.2141914,34.1496122,6806200,0.599,618767,414233,101,101,89,-119.2141914,34.1496122
"PAST SALE","February-7-2025","Single Family Residential","1008 Ocean Dr","Oxnard","CA","93035",1600000,3,3,"Silverstrand Beach - 0308",2042,2450,1973,NA,784,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Oxnard/1008-Ocean-Dr-93035/home/4526553","CRMLS","V1-27373","N","Y","1008 Ocean Dr, Oxnard, CA",8141,2.99,97692,-119.2177912,34.1518541,6806200,0.599,958400,641600,101,101,82,-119.2177912,34.1518541
"PAST SALE",NA,"Single Family Residential","901 Ocean Dr","Oxnard","CA","93035",3100000,4,5,NA,3502,2178,2005,NA,885,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/901-Ocean-Dr-93035/home/4526763",NA,NA,"Y","Y","901 Ocean Dr, Oxnard, CA",10505,3.44,126060,-119.2177976,34.1510734,6806200,0.599,1856900,1243100,101,97,68,-119.2177976,34.1510734
"PAST SALE","May-14-2025","Single Family Residential","124 Fillmore Ave","Oxnard","CA","93035",1300000,2,1,"Other (OTHR)",826,2178,1949,NA,1574,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Oxnard/124-Fillmore-Ave-93035/home/4527275","CRMLS","SR25106695","N","Y","124 Fillmore Ave, Oxnard, CA",3412,3.73,40944,-119.2185107,34.1535101,6806200,0.599,778700,521300,101,89,62,-119.2185107,34.1535101
"PAST SALE",NA,"Single Family Residential","116 Eagle Rock Ave","Oxnard","CA","93035",985000,3,1,NA,964,2178,1946,NA,1022,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/116-Eagle-Rock-Ave-93035/home/4526220",NA,NA,"N","Y","116 Eagle Rock Ave, Oxnard, CA",3424,3.73,41088,-119.2162092,34.1505396,6806200,0.599,590015,394985,101,101,80,-119.2162092,34.1505396
"PAST SALE",NA,"Single Family Residential","121 Van Nuys Ave","Oxnard","CA","93035",1050000,3,2,NA,1062,2178,1958,NA,989,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/121-Van-Nuys-Ave-93035/home/4526260",NA,NA,"N","Y","121 Van Nuys Ave, Oxnard, CA",4917,3.13,59004,-119.2155811,34.1500614,6806200,0.599,628950,421050,101,101,80,-119.2155811,34.1500614
"PAST SALE",NA,"Single Family Residential","1400 Ocean Dr","Oxnard","CA","93035",2375000,5,4,NA,2303,2178,1977,NA,1031,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/1400-Ocean-Dr-93035/home/4527240",NA,NA,"N","Y","1400 Ocean Dr, Oxnard, CA",8341,3.73,100092,-119.2191153,34.1534012,6806200,0.599,1422625,952375,101,101,81,-119.2191153,34.1534012
"PAST SALE",NA,"Single Family Residential","112 Santa Paula Ave","Oxnard","CA","93035",1203500,4,2,NA,1895,2178,1956,NA,635,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/112-Santa-Paula-Ave-93035/home/4527337",NA,NA,"N","Y","112 Santa Paula Ave, Oxnard, CA",6403,3.58,76836,-119.2183604,34.1529103,6806200,0.599,720896.5,482603.5,101,101,101,-119.2183604,34.1529103
"PAST SALE",NA,"Single Family Residential","136 Simi Ave","Oxnard","CA","93035",839000,3,2,NA,1202,2450,1970,NA,698,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/136-Simi-Ave-93035/home/4527937",NA,NA,"N","Y","136 Simi Ave, Oxnard, CA",5506,3.62,66072,-119.2208407,34.15645,6806200,0.599,502561,336439,101,101,101,-119.2208407,34.15645
"PAST SALE",NA,"Single Family Residential","128 Pasadena Ave","Oxnard","CA","93035",785000,3,2,NA,1055,2450,1955,NA,744,NA,NA,NA,NA,"https://www.redfin.com/CA/Oxnard/128-Pasadena-Ave-93035/home/4526576",NA,NA,"N","Y","128 Pasadena Ave, Oxnard, CA",4915,3.34,58980,-119.2169357,34.1519009,6806200,0.599,470215,314785,101,101,101,-119.2169357,34.1519009
