"YYYY","run_up"
2000,2.2448195199994
2001,2.22323794803988
2002,2.45727042455731
2003,2.02739181920428
2004,2.12280564040281
2005,1.87469750563534
2006,1.81742044748463
2007,2.23715812909359
2008,2.24614273604838
2009,1.54843476676168
2010,1.96901422108515
2011,1.71783413792934
2012,1.76207322509088
2013,1.50412704344874
2014,1.49768976922036
2015,1.8113879267072
2016,2.00516208719041
2017,2.10496474428177
2018,1.81188754191504
2019,2.03441429598358
2020,1.77417146873251
2021,1.8827377033818
2022,1.41561457771333
2023,2.53868300134874
2024,1.70869442182348
