parameter_set,scenario,cliff_scenario,rental_yield,discount_rate,damage_threshold,n_properties,mean_retreat_year,median_retreat_year,n_immediate,n_early,n_mid,n_late,n_beyond_horizon,total_buyout_M,total_market_M,gov_net_cost_M,n_capped,n_gov_profit
y0.03_d0.020_t0.15_LetItGo,High,NA,0.03,0.02,0.15,405,13.172030555555555,1,247,40,35,38,45,897.2447369450701,1309.129637,-142.8633112477932,80,100
y0.03_d0.020_t0.15_LetItGo,Intermediate,NA,0.03,0.02,0.15,405,16.467310160427807,1,126,10,21,30,218,383.6799668762246,557.243019,-83.60355248863324,51,57
y0.03_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.03,0.02,0.15,405,22.35634294871795,1,173,13,55,71,93,815.7356118753596,1079.496775,-220.36733599837245,130,137
y0.04_d0.020_t0.15_LetItGo,High,NA,0.04,0.02,0.15,405,24.914307228915664,18.555,157,15,94,66,73,938.23942749959,1162.48213,-462.44874832293493,170,181
y0.04_d0.020_t0.15_LetItGo,Intermediate,NA,0.04,0.02,0.15,405,23.20131343283582,17.3435,60,20,31,23,271,296.5425325328108,369.39278,-112.39070913761826,68,74
y0.04_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.04,0.02,0.15,405,30.114209486166008,23.674,95,34,41,83,152,715.0571357268101,839.537887,-384.83623021442014,146,157
y0.05_d0.015_t0.15_LetItGo,High,NA,0.05,0.015,0.15,405,30.76318092105263,26.572,103,48,50,103,101,887.3383416514561,1013.355262,-767.1919870700236,196,208
y0.05_d0.015_t0.15_LetItGo,Intermediate,NA,0.05,0.015,0.15,405,31.09274,23.488999999999997,29,24,19,28,305,250.70944446963108,276.154559,-199.4860697399206,68,72
y0.05_d0.015_t0.15_LetItGo,Intermediate_High,NA,0.05,0.015,0.15,405,32.08139378238342,29.543,53,34,57,49,212,575.7411776573068,628.915274,-513.7151237739896,137,144
y0.05_d0.020_t0.15_LetItGo,High,NA,0.05,0.02,0.15,405,31.999799342105263,28.289,91,52,53,108,101,906.5841223528074,1013.355262,-678.1788671720134,209,220
y0.05_d0.020_t0.15_LetItGo,Intermediate,NA,0.05,0.02,0.15,405,31.99794,25.0625,25,24,23,28,305,253.8973801250409,276.154559,-175.4864563119106,73,79
y0.05_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.05,0.02,0.15,405,33.19745595854922,31.236,48,37,57,51,212,583.6183866154892,628.915274,-451.92771174045436,140,145
y0.05_d0.020_t0.30_LetItGo,High,NA,0.05,0.02,0.3,405,32.42167434210526,28.848,87,55,50,112,101,909.4733369184022,1013.355262,-688.2166616671652,211,225
y0.05_d0.020_t0.30_LetItGo,Intermediate,NA,0.05,0.02,0.3,405,31.87480808080808,25.221,24,25,23,27,306,252.0329660769175,273.498304,-173.4111296675848,74,77
y0.05_d0.020_t0.30_LetItGo,Intermediate_High,NA,0.05,0.02,0.3,405,33.68088082901554,31.812,45,36,58,54,212,585.7261454208889,628.915274,-458.8396313182709,142,150
y0.05_d0.030_t0.15_LetItGo,High,NA,0.05,0.03,0.15,405,34.30908223684211,31.701500000000003,72,59,55,118,101,941.4980204645327,1013.355262,-529.2710934247834,220,235
y0.05_d0.030_t0.15_LetItGo,Intermediate,NA,0.05,0.03,0.15,405,33.51017,27.006,20,25,27,28,305,257.2849717919166,276.154559,-136.06870796549637,77,80
y0.05_d0.030_t0.15_LetItGo,Intermediate_High,NA,0.05,0.03,0.15,405,35.167694300518136,34.672,38,38,63,54,212,595.9909439953259,628.915274,-347.5720058835417,150,159
y0.06_d0.020_t0.15_LetItGo,High,NA,0.06,0.02,0.15,405,38.721879432624114,37.099999999999994,44,53,63,122,123,872.669802661551,907.771847,-939.4004465061028,239,246
y0.06_d0.020_t0.15_LetItGo,Intermediate,NA,0.06,0.02,0.15,405,33.70382089552239,30.509,10,14,25,18,338,173.21920767631673,179.726799,-164.37281107994684,57,57
y0.06_d0.020_t0.15_LetItGo,Intermediate_High,NA,0.06,0.02,0.15,405,39.17316564417178,45.502,23,25,45,70,242,487.93887330865823,504.48881,-549.8035836099017,140,142
