parcel_id,slr_m,depth_m
1,0,0
1,0.25,0
1,0.5,0
1,1,0
1,1.5,0.3121074438095093
1,1.75,0.5571264624595642
1,2,0.8763732314109802
2,0,0
2,0.25,0
2,0.5,0
2,1,0
2,1.5,0
2,1.75,0
2,2,0
3,0,0
3,0.25,0
3,0.5,0
3,1,0
3,1.5,0.42329296469688416
3,1.75,0.3839740455150604
3,2,0.4620809257030487
4,0,0
4,0.25,0
4,0.5,0
4,1,0.5908343195915222
4,1.5,0.940256655216217
4,1.75,0.9607426524162292
4,2,0.7507250308990479
5,0,0
5,0.25,2.2419004440307617
5,0.5,1.7926274538040161
5,1,2.8018198013305664
5,1.5,2.8312134742736816
5,1.75,2.905733346939087
5,2,3.378228187561035
6,0,0
6,0.25,0
6,0.5,0
6,1,0.30848604440689087
6,1.5,0.5068200826644897
6,1.75,0.8388695120811462
6,2,1.0744200944900513
7,0,0
7,0.25,0
7,0.5,0
7,1,1.2269039154052734
7,1.5,2.8229055404663086
7,1.75,2.3677799701690674
7,2,2.52803897857666
8,0,0
8,0.25,0.4606274664402008
8,0.5,0.327818900346756
8,1,1.357823133468628
8,1.5,1.4202874898910522
8,1.75,1.8274142742156982
8,2,1.757751226425171
9,0,0
9,0.25,0
9,0.5,0
9,1,0
9,1.5,1.6839655637741089
9,1.75,1.0138907432556152
9,2,1.3439003229141235
10,0,0
10,0.25,0
10,0.5,0
10,1,0
10,1.5,0
10,1.75,0
10,2,0
11,0,0
11,0.25,0
11,0.5,0
11,1,0.7318649888038635
11,1.5,2.926692485809326
11,1.75,2.2444264888763428
11,2,2.5844366550445557
12,0,0
12,0.25,0
12,0.5,0
12,1,0
12,1.5,0
12,1.75,0
12,2,0
13,0,0
13,0.25,0.9572083950042725
13,0.5,0.8763390779495239
13,1,1.8279118537902832
13,1.5,1.9179188013076782
13,1.75,2.510150909423828
13,2,2.3947694301605225
14,0,0
14,0.25,0
14,0.5,0
14,1,0
14,1.5,0
14,1.75,0
14,2,0
15,0,0
15,0.25,0
15,0.5,0
15,1,0.5810948610305786
15,1.5,0.7486843466758728
15,1.75,1.8399806022644043
15,2,1.7822705507278442
16,0,0
16,0.25,1.3719265460968018
16,0.5,1.6720842123031616
16,1,1.8620916604995728
16,1.5,2.4519267082214355
16,1.75,2.4091973304748535
16,2,2.4909093379974365
17,0,0
17,0.25,0
17,0.5,0
17,1,0.13127902150154114
17,1.5,0.929202675819397
17,1.75,1.2759697437286377
17,2,1.7391775846481323
18,0,0
18,0.25,0
18,0.5,0
18,1,0.46144795417785645
18,1.5,0.8879083395004272
18,1.75,0.9668910503387451
18,2,0.6214326620101929
19,0,0
19,0.25,0
19,0.5,0
19,1,0
19,1.5,0
19,1.75,0
19,2,0
20,0,0
20,0.25,0.26432251930236816
20,0.5,0.2804471254348755
20,1,1.3853168487548828
20,1.5,3.316215991973877
20,1.75,2.7392148971557617
20,2,2.99433970451355
21,0,0
21,0.25,0
21,0.5,0
21,1,0.249217227101326
21,1.5,0.79921722412109375
21,1.75,1.241108775138855
21,2,1.5712084770202637
22,0,0
22,0.25,0
22,0.5,0
22,1,0
22,1.5,0
22,1.75,0
22,2,0
23,0,0
23,0.25,0.11858515441417694
23,0.5,0.6490000486373901
23,1,2.196337938308716
23,1.5,2.5255234241485596
23,1.75,1.431185245513916
23,2,2.551546335220337
24,0,0
24,0.25,1.2331674098968506
24,0.5,0.8574075102806091
24,1,1.8674097061157227
24,1.5,1.898357629776001
24,1.75,2.0480575561523438
24,2,2.4028403759002686
25,0,0
