SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,6 Dipsea Rd,Stinson Beach,CA,94970,576000,3,2.0,,1710,11214,1991,,337,,,,,https://www.redfin.com/CA/Stinson-Beach/6-Dipsea-Rd-94970/home/751483,,,Y,Y,37.9048052,-122.6524155
PAST SALE,,Single Family Residential,5 Dipsea Rd,Stinson Beach,CA,94970,4800000,2,3.0,,2356,12750,1988,,2037,,,,,https://www.redfin.com/CA/Stinson-Beach/5-Dipsea-Rd-94970/home/1183350,,,Y,Y,37.9049043,-122.6530651
PAST SALE,April-12-2011,Single Family Residential,9 Dipsea Rd,Stinson Beach,CA,94970,1040000,3,2.0,Seadrift,1372,7800,1966,,758,192,Sold,,,https://www.redfin.com/CA/Stinson-Beach/9-Dipsea-Rd-94970/home/969546,BAREIS,21106986,Y,Y,37.9051004,-122.6530725
PAST SALE,,Single Family Residential,11 Dipsea Rd,Stinson Beach,CA,94970,515000,3,3.0,,1598,11250,1991,,322,,,,,https://www.redfin.com/CA/Stinson-Beach/11-Dipsea-Rd-94970/home/1118896,,,Y,Y,37.9053052,-122.6530644
PAST SALE,,Single Family Residential,12 Dipsea Rd,Stinson Beach,CA,94970,1250000,3,2.0,,1901,20634,1988,,658,,,,,https://www.redfin.com/CA/Stinson-Beach/12-Dipsea-Rd-94970/home/1376650,,,Y,Y,37.9053423,-122.65236
PAST SALE,June-3-2019,Single Family Residential,14 Dipsea Rd,Stinson Beach,CA,94970,1925000,3,2.0,Stinson Beach,1901,21214,1988,,1013,242,Sold,,,https://www.redfin.com/CA/Stinson-Beach/14-Dipsea-Rd-94970/home/1145346,BAREIS,21828650,Y,Y,37.9055303,-122.6523946
PAST SALE,,Single Family Residential,16 Dipsea Rd,Stinson Beach,CA,94970,265000,4,3.0,,2131,30492,2001,,124,,,,,https://www.redfin.com/CA/Stinson-Beach/16-Dipsea-Rd-94970/home/721029,,,Y,Y,37.9056796,-122.6525229
PAST SALE,,Single Family Residential,19 Dipsea Rd,Stinson Beach,CA,94970,132000,3,2.0,,1936,11250,1989,,68,,,,,https://www.redfin.com/CA/Stinson-Beach/19-Dipsea-Rd-94970/home/927522,,,Y,Y,37.9058018,-122.6533256
PAST SALE,September-19-2014,Single Family Residential,23 Dipsea Rd,Stinson Beach,CA,94970,2710000,5,3.5,Stinson Beach,2984,13125,2001,,908,217,Sold,,,https://www.redfin.com/CA/Stinson-Beach/23-Dipsea-Rd-94970/home/1231125,BAREIS,21410685,Y,Y,37.9058656,-122.6536102
PAST SALE,June-30-2017,Single Family Residential,25 Dipsea Rd,Stinson Beach,CA,94970,2750000,2,2.5,Stinson Beach,1509,11252,1989,,1822,242,Sold,,,https://www.redfin.com/CA/Stinson-Beach/25-Dipsea-Rd-94970/home/937065,BAREIS,21708727,Y,Y,37.9059744,-122.6539181
PAST SALE,,Single Family Residential,29 Dipsea Rd,Stinson Beach,CA,94970,2275000,3,2.0,,2132,11250,1989,,1067,,,,,https://www.redfin.com/CA/Stinson-Beach/29-Dipsea-Rd-94970/home/1318681,,,Y,Y,37.9060519,-122.6542672
PAST SALE,,Single Family Residential,31 Dipsea Rd,Stinson Beach,CA,94970,2667500,3,3.0,,2683,11250,1989,,994,,,,,https://www.redfin.com/CA/Stinson-Beach/31-Dipsea-Rd-94970/home/1191306,,,Y,Y,37.9061404,-122.6545227
PAST SALE,,Single Family Residential,35 Dipsea Rd,Stinson Beach,CA,94970,1355000,2,3.0,,2395,11250,1993,,566,,,,,https://www.redfin.com/CA/Stinson-Beach/35-Dipsea-Rd-94970/home/1064305,,,Y,Y,37.9062542,-122.654798
PAST SALE,,Single Family Residential,37 Dipsea Rd,Stinson Beach,CA,94970,2080000,3,3.0,,2251,11250,1987,,924,,,,,https://www.redfin.com/CA/Stinson-Beach/37-Dipsea-Rd-94970/home/772239,,,Y,Y,37.90632,-122.6551037
PAST SALE,,Single Family Residential,47 Dipsea Rd,Stinson Beach,CA,94970,175000,3,3.0,,2482,11250,1990,,71,,,,,https://www.redfin.com/CA/Stinson-Beach/47-Dipsea-Rd-94970/home/720995,,,Y,Y,37.9066152,-122.6559795
PAST SALE,,Single Family Residential,49 Dipsea Rd,Stinson Beach,CA,94970,2535000,3,2.0,,2540,11250,1989,,998,,,,,https://www.redfin.com/CA/Stinson-Beach/49-Dipsea-Rd-94970/home/1213905,,,Y,Y,37.9067001,-122.6562583
PAST SALE,March-20-2012,Single Family Residential,51 Dipsea Rd,Stinson Beach,CA,94970,1450000,2,2.0,Stinson Beach,1362,7500,1988,,1065,200,Sold,,,https://www.redfin.com/CA/Stinson-Beach/51-Dipsea-Rd-94970/home/721003,BAREIS,21114279,Y,Y,37.906765,-122.656463
PAST SALE,,Single Family Residential,53 Dipsea Rd,Stinson Beach,CA,94970,,2,3.0,,2004,7500,1992,,,,,,,https://www.redfin.com/CA/Stinson-Beach/53-Dipsea-Rd-94970/home/772236,,,Y,Y,37.9068485,-122.6566836
PAST SALE,,Single Family Residential,67 Dipsea Rd,Stinson Beach,CA,94970,212500,4,3.0,,2332,11250,1992,,91,,,,,https://www.redfin.com/CA/Stinson-Beach/67-Dipsea-Rd-94970/home/1262058,,,Y,Y,37.9072335,-122.6579993
PAST SALE,March-30-2016,Single Family Residential,71 Dipsea Rd,Stinson Beach,CA,94970,2950000,3,3.0,Marin,2273,11250,1992,,1298,208,Sold,,,https://www.redfin.com/CA/Stinson-Beach/71-Dipsea-Rd-94970/home/1002491,San Francisco MLS,441748,Y,Y,37.9073241,-122.658272
PAST SALE,,Single Family Residential,75 Dipsea Rd,Stinson Beach,CA,94970,276450,2,3.0,,2099,7500,1993,,132,,,,,https://www.redfin.com/CA/Stinson-Beach/75-Dipsea-Rd-94970/home/969535,,,Y,Y,37.9074705,-122.6587185
PAST SALE,August-5-2014,Single Family Residential,79 Dipsea Rd,Stinson Beach,CA,94970,1950000,3,2.0,Stinson Beach,1872,11252,1989,,1042,217,Sold,,,https://www.redfin.com/CA/Stinson-Beach/79-Dipsea-Rd-94970/home/1027133,BAREIS,21401952,Y,Y,37.907574,-122.6591718
PAST SALE,August-14-2015,Single Family Residential,83 Dipsea Rd,Stinson Beach,CA,94970,2725000,4,2.0,Stinson Beach,2169,11252,1989,,1256,208,Sold,,,https://www.redfin.com/CA/Stinson-Beach/83-Dipsea-Rd-94970/home/889012,BAREIS,21516788,Y,Y,37.9077141,-122.6594717
PAST SALE,,Single Family Residential,85 Dipsea Rd,Stinson Beach,CA,94970,79000,2,2.0,,1344,7500,1988,,59,,,,,https://www.redfin.com/CA/Stinson-Beach/85-Dipsea-Rd-94970/home/722713,,,Y,Y,37.9077396,-122.6596434
PAST SALE,,Single Family Residential,91 Dipsea Rd,Stinson Beach,CA,94970,2225000,3,3.0,,2647,11250,1989,,841,,,,,https://www.redfin.com/CA/Stinson-Beach/91-Dipsea-Rd-94970/home/746387,,,Y,Y,37.9079489,-122.6602428
PAST SALE,April-24-2012,Single Family Residential,93 Dipsea Rd,Stinson Beach,CA,94970,1925000,2,2.0,Stinson Beach,2054,7492,1987,,937,192,Sold,,,https://www.redfin.com/CA/Stinson-Beach/93-Dipsea-Rd-94970/home/1314536,BAREIS,21205967,Y,Y,37.9080155,-122.6604664
PAST SALE,,Single Family Residential,95 Dipsea Rd,Stinson Beach,CA,94970,1735000,2,2.0,,1518,7500,1987,,1143,,,,,https://www.redfin.com/CA/Stinson-Beach/95-Dipsea-Rd-94970/home/720967,,,Y,Y,37.9080877,-122.6606606
PAST SALE,,Single Family Residential,99 Dipsea Rd,Stinson Beach,CA,94970,985000,3,5.0,,3476,22500,1983,,283,,,,,https://www.redfin.com/CA/Stinson-Beach/99-Dipsea-Rd-94970/home/1222951,,,Y,Y,37.9081909,-122.6610559
PAST SALE,,Single Family Residential,103 Dipsea Rd,Stinson Beach,CA,94970,4125000,4,2.0,,1715,7500,1968,,2405,,,,,https://www.redfin.com/CA/Stinson-Beach/103-Dipsea-Rd-94970/home/1388418,,,Y,Y,37.9083366,-122.6614119
PAST SALE,,Single Family Residential,107 Dipsea Rd,Stinson Beach,CA,94970,,4,3.0,,2543,15000,1987,,,,,,,https://www.redfin.com/CA/Stinson-Beach/107-Dipsea-Rd-94970/home/1011979,,,Y,Y,37.908401,-122.6618025
PAST SALE,,Single Family Residential,109 Dipsea Rd,Stinson Beach,CA,94970,12000,3,2.0,,1446,7500,1973,,8,,,,,https://www.redfin.com/CA/Stinson-Beach/109-Dipsea-Rd-94970/home/720974,,,Y,Y,37.9083909,-122.6619939
PAST SALE,,Single Family Residential,113 Dipsea Rd,Stinson Beach,CA,94970,2635000,3,2.0,,1482,7500,1982,,1778,,,,,https://www.redfin.com/CA/Stinson-Beach/113-Dipsea-Rd-94970/home/1238668,,,Y,Y,37.9083168,-122.6624192
PAST SALE,February-17-2012,Single Family Residential,115 Dipsea Rd,Stinson Beach,CA,94970,1150000,3,2.0,Seadrift,1374,7492,1979,,837,192,Sold,,,https://www.redfin.com/CA/Stinson-Beach/115-Dipsea-Rd-94970/home/914026,BAREIS,21130506,Y,Y,37.9082672,-122.6626009
PAST SALE,,Single Family Residential,119 Dipsea Rd,Stinson Beach,CA,94970,3300000,3,2.0,,1503,7500,1974,,2196,,,,,https://www.redfin.com/CA/Stinson-Beach/119-Dipsea-Rd-94970/home/720982,,,Y,Y,37.9081982,-122.6630174
PAST SALE,,Single Family Residential,123 Dipsea Rd,Stinson Beach,CA,94970,1300000,2,2.0,,2423,7500,1996,,537,,,,,https://www.redfin.com/CA/Stinson-Beach/123-Dipsea-Rd-94970/home/1187236,,,Y,Y,37.9081217,-122.6634405
PAST SALE,April-29-2014,Single Family Residential,125 Dipsea Rd,Stinson Beach,CA,94970,1995000,2,2.0,Stinson Beach,1440,7501,1969,,1385,217,Sold,,,https://www.redfin.com/CA/Stinson-Beach/125-Dipsea-Rd-94970/home/722702,BAREIS,21405600,Y,Y,37.9080521,-122.6636497
