"SALE TYPE","SOLD DATE","PROPERTY TYPE","ADDRESS","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","DAYS ON MARKET","$/SQUARE FEET","HOA/MONTH","STATUS","NEXT OPEN HOUSE START TIME","NEXT OPEN HOUSE END TIME","URL","SOURCE","MLS#","FAVORITE","INTERESTED","LATITUDE","LONGITUDE","full_address","annual_rental_income","monthly_rental_income","rentalval","rentalval_note","elevation","distance_to_coast_meters","distance_to_coast_km","median_ageE","whiteE","blackE","asianE","hispanicE","median_incomeE","educationE","unemploymentE"
"MLS Listing",NA,"Single Family Residential","310 Seadrift Rd","Stinson Beach","CA",94970,9995000,3,3,"Stinson Beach",1540,17759,1961,85,6490,322,"Active",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/310-Seadrift-Rd-94970/home/932377","BAREIS",325093052,"N","Y",37.9070858,-122.6735705,"310 Seadrift Rd, Stinson Beach, CA",499750,41645.8333333333,41645.8333333333,"baseline_5pct",4.43,101.288651928994,0.101288651928994,64.5,1522,0,29,222,96875,463,15
"MLS Listing",NA,"Single Family Residential","3275 Shoreline Hwy","Stinson Beach","CA",94970,6498000,5,4,"Stinson Beach",2712,16122,1930,110,2396,NA,"Active",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/3275-Highway-1-94970/home/721836","San Francisco MLS",325088324,"N","Y",37.895795,-122.636953,"3275 Shoreline Hwy, Stinson Beach, CA",324900,27075,27075,"baseline_5pct",27.16,394.235422488875,0.394235422488875,64.5,1522,0,29,222,96875,463,15
"MLS Listing",NA,"Single Family Residential","156 Seadrift Rd","Stinson Beach","CA",94970,10699000,5,3,"Stinson Beach",2224,28201,1962,226,4811,290,"Active",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/156-Seadrift-Rd-94970/home/922980","BAREIS",325051657,"N","Y",37.904831,-122.658222,"156 Seadrift Rd, Stinson Beach, CA",534950,44579.1666666667,44579.1666666667,"baseline_5pct",5.37,305.094287253566,0.305094287253566,64.5,1522,0,29,222,96875,463,15
"MLS Listing",NA,"Single Family Residential","122 Seadrift Rd","Stinson Beach","CA",94970,10998000,4,3,"Seadrift",2422,26101,1970,451,4541,290,"Active",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/122-Seadrift-Rd-94970/home/883443","BAREIS",324085095,"N","Y",37.9039336,-122.6548943,"122 Seadrift Rd, Stinson Beach, CA",549900,45825,45825,"baseline_5pct",5.3,311.985492521254,0.311985492521254,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","2 Calle del Embarcadero","Stinson Beach","CA",94970,1685682,2,1,NA,725,5600,1942,NA,2621,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/2-Calle-del-Embarcadero-94970/home/722918",NA,NA,"N","Y",37.9007097,-122.6457368,"2 Calle del Embarcadero, Stinson Beach, CA",84284.1,7023.675,7023.675,"baseline_5pct",2.55,230.877344737502,0.230877344737502,64.5,1522,0,29,222,96875,463,15
"PAST SALE","November-21-2023","Single Family Residential","325 Seadrift Rd","Stinson Beach","CA",94970,9100000,4,3.5,"Stinson Beach",3565,17498,1981,NA,2553,290,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/325-Seadrift-Rd-94970/home/22614749","BAREIS",323909475,"N","Y",37.9074778,-122.6753007,"325 Seadrift Rd, Stinson Beach, CA",455000,37916.6666666667,37916.6666666667,"baseline_5pct",3.45,200.67552244452,0.20067552244452,64.5,1522,0,29,222,96875,463,15
"PAST SALE","February-10-2025","Single Family Residential","3 Dipsea Rd","Stinson Beach","CA",94970,5850000,3,3,"Stinson Beach",2713,11252,1991,NA,2156,290,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/3-Dipsea-Rd-94970/home/721021","San Francisco MLS",323931116,"N","Y",37.9045403,-122.653063,"3 Dipsea Rd, Stinson Beach, CA",292500,24375,24375,"baseline_5pct",3.54,461.796182257034,0.461796182257034,64.5,1522,0,29,222,96875,463,15
"PAST SALE","August-28-2023","Single Family Residential","22 Calle Del Onda Ct","Stinson Beach","CA",94970,2502364,3,2,"Stinson Beach",1905,4800,1930,NA,1149,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/22-Calle-del-Onda-94970/home/914050","San Francisco MLS",323016379,"N","Y",37.8994017,-122.6450857,"22 Calle Del Onda Ct, Stinson Beach, CA",125118.2,10426.5166666667,10426.5166666667,"baseline_5pct",4.08,81.990729041331,0.081990729041331,64.5,1522,0,29,222,96875,463,15
"PAST SALE","May-16-2025","Single Family Residential","13 Walla Vis","Stinson Beach","CA",94970,6900000,3,2,"Stinson Beach",1688,7501,1980,NA,4088,NA,"Sold",NA,NA,"https://www.redfin.com/CA/Stinson-Beach/13-Walla-Vis-94970/home/834234","BAREIS",325036655,"N","Y",37.9031279,-122.6529819,"13 Walla Vis, Stinson Beach, CA",345000,28750,28750,"baseline_5pct",4.76,277.474456454659,0.277474456454659,64.5,1522,0,29,222,96875,463,15
"PAST SALE",NA,"Single Family Residential","7 Avenida Olema","Stinson Beach","CA",94970,4500000,3,2,NA,1584,20125,1970,NA,2841,NA,NA,NA,NA,"https://www.redfin.com/CA/Stinson-Beach/7-Avenida-Olema-94970/home/1392235",NA,NA,"N","Y",37.9033716,-122.6404355,"7 Avenida Olema, Stinson Beach, CA",225000,18750,18750,"baseline_5pct",92.98,833.20049038339,0.83320049038339,64.5,1522,0,29,222,96875,463,15
